Wavelength (nm),H2O,prot_2,prot_4,prot_8,prot_12,prot_16,prot_20,prot_24,prot_28,prot_32,prot_36
365,-0.001259543,0.000611132,-0.001178334,-0.000669981,0.00084281,0.000622252,0.002852819,0.002039782,0.01013392,0.001383892,0.001720939
366,-0.000623973,0.000408984,0.000748309,-0.000297224,0.000629304,0.001574465,0.002672025,0.002724848,0.009423611,0.001713169,0.001549785
367,-0.000678459,-0.000179404,-0.000189185,8.86E-05,0.000793145,0.002527677,0.003098055,0.001788593,0.009435992,0.001444039,8.27E-05
368,-0.000916689,-0.000257541,0.000244924,-0.000490107,-0.000388323,0.000501364,0.001665613,0.002169295,0.010024766,0.00094706,0.001243918
369,-0.000209574,0.001147668,0.001300749,0.000446633,0.000981124,0.003289174,0.000884751,0.002147208,0.011309198,0.002510805,0.000686132
370,-0.000157565,0.00045591,-0.000241397,-0.001049081,-8.61E-05,0.002215761,0.00184014,0.00215392,0.010384046,0.000524948,-0.000300536
371,-0.000458923,0.000716286,1.36E-05,-0.000520255,-0.000936166,0.001997808,0.002048469,0.001810506,0.008601149,0.000723001,0.000179012
372,-0.001444827,0.000211359,-0.000743895,-0.000397478,0.000446322,0.00224152,0.001557189,0.001416224,0.010719133,0.000815422,0.000675165
373,0.001182319,0.002206603,-0.000170607,0.00032569,0.001675098,0.003049826,0.002612202,0.003657148,0.012558883,0.002714116,0.002332807
374,0.000789488,0.000618986,0.000486022,0.001729126,0.001230523,0.001320559,0.002225908,0.003739726,0.011373713,0.001617179,0.00112867
375,-0.000709421,0.000762389,-1.21E-05,0.000259144,0.001258248,0.001224578,0.001786774,0.00248136,0.011936891,0.001703449,0.001856882
376,1.42E-05,0.00073244,0.000531661,0.001418354,0.000444586,0.001085252,0.003190409,0.002719925,0.011503088,0.000942209,0.00133954
377,-4.18E-05,0.000945711,0.000499757,0.000219465,0.00120459,0.00102531,0.002062462,0.00321474,0.011781851,0.001662806,0.001078842
378,0.000783472,0.000791615,2.01E-05,0.000484312,0.000893908,0.000744238,0.001796365,0.002289347,0.011434462,0.001416847,0.001190521
379,-0.000373426,-0.000697998,-0.000178525,-0.000212938,-0.000698411,0.000340404,0.001560566,0.001233456,0.009355207,0.000968619,-9.56E-05
380,0.001148447,-0.000220285,-0.000176817,0.000291289,0.000471795,0.002738394,0.002109385,0.001465025,0.010425327,0.00199063,0.00128164
381,7.69E-06,0.000719112,0.000401548,0.001061819,0.001971803,0.003348803,0.001856024,0.00212351,0.011082651,0.001236857,0.001166719
382,-0.001160934,-2.55E-05,-9.30E-05,-0.000510534,-0.000518342,0.001632405,0.00193865,0.001607877,0.010676841,0.001403343,0.000151226
383,0.000410331,-0.000168951,0.000329524,0.000859254,0.000664094,0.003047897,0.002567906,0.002625796,0.010857947,0.001468506,0.000973367
384,-0.00018194,7.03E-05,-0.000167657,0.000772632,0.000728317,0.001653841,0.002229863,0.002396158,0.010679415,0.001589612,0.000684135
385,-0.000344302,0.000710141,-9.04E-05,0.000783368,0.000438911,0.001738248,0.001977758,0.003193825,0.010214903,0.001746643,0.000806812
386,-0.000596727,-0.00044408,-0.000296914,-0.000663106,-0.000852675,0.001772478,0.000653491,0.002150642,0.010454124,0.000701558,-0.000123821
387,-0.000379478,0.000234538,-0.000214593,-3.54E-05,0.000574323,0.001437053,0.001678865,0.002311623,0.01002625,0.001282315,0.000316364
388,-0.000375805,0.001101601,2.52E-05,-5.44E-06,0.000574246,0.001499208,0.001415107,0.002936026,0.011144158,0.00146235,0.000731791
389,0.000511108,0.00113329,0.000254275,0.001099681,0.001317132,0.001288494,0.001780873,0.003198233,0.010414748,0.001561839,0.001058939
390,0.000335923,0.000413026,0.000313592,-5.90E-05,0.000144261,0.001598731,0.001833433,0.002725864,0.009970702,0.001328556,0.001253342
391,-0.000292206,0.000576215,-0.000109743,0.000797528,-0.000209367,0.000465109,0.001726319,0.002881926,0.010865672,0.001025699,0.000995264
392,0.00171374,0.0015661,0.001727151,0.002165912,0.002042279,0.001071083,0.003515605,0.00509134,0.012567676,0.002514138,0.002875567
393,-0.000597141,0.000355456,-0.000902534,0.000425515,0.000214285,0.001838762,0.002431663,0.002945408,0.010868856,0.000714134,0.001429236
394,-0.000748133,-0.000299967,2.49E-06,-0.000269907,-0.000704045,0.000770791,0.002218154,0.002453998,0.010866016,0.001017708,0.001192598
395,-0.000203985,0.000669305,0.000179738,-0.00023286,6.72E-05,0.001581454,0.002326327,0.003242853,0.010465473,0.001716001,0.001273488
396,0.000193981,0.000491205,0.000357037,0.000536922,0.000706925,0.001696458,0.0017324,0.002507941,0.010554209,0.001408095,0.000968152
