Wavelength [nm],H2O_2ml,prot_2,prot_4,prot_6,prot_8,prot_10,prot_12,prot_14,prot_16
902,-0.000655174,-0.003083706,-0.00147295,-0.002979755,-0.000769138,-0.00302124,-0.002716064,-0.001966476,0.001213074
903,-0.001029968,-3.43E-05,-0.001952171,-0.000520229,-0.000917912,-0.001054764,0.001400471,-0.000526905,3.67E-05
904,0.00040102,-0.001792908,-0.000281811,-0.002436161,-0.002660275,-0.002019882,-0.001004219,-0.000310421,0.000195026
905,-0.001099586,-8.58E-06,-0.001176834,-0.002530575,-0.000793934,-0.002108574,-0.000352383,-0.000209808,0.000174999
906,0.000483036,-0.001128197,-0.000396252,-0.001953602,-0.00025034,-0.000876904,-0.000773907,-0.000193119,-0.000743866
907,0.000194073,-0.000766277,-0.00020504,-0.003040314,9.25E-05,-0.002331257,-0.000681877,-0.00041008,0.000730038
908,0.001038074,0.000558853,-0.001102924,-0.001679897,-0.002019882,-0.000206947,-0.000481129,9.54E-07,2.10E-05
909,-0.000496864,-0.001042366,-0.000461102,-0.002598286,-0.000413418,-0.001126289,-0.001498222,-0.002121449,0.000610828
910,0.000656605,-0.000438213,0.000415325,-0.00135994,-0.000484467,-0.000889301,5.05E-05,-0.000437737,0.001364231
911,-0.001648903,-0.002599239,-0.003645897,-0.004084587,-0.003297806,-0.001775265,-0.002677917,-0.002325535,-0.000648499
912,-0.000695229,-0.002134323,-0.001004219,-0.002300739,-0.00128746,-0.001950264,-0.002092838,-0.001377106,-0.000737667
913,0.002769947,0.001560688,4.96E-05,-0.001351833,0.001039505,0.000548363,0.00178051,-0.00022459,0.002182484
914,-0.001648426,-0.002196312,-0.001648426,-0.003836155,-0.003836155,-0.001648426,0,-0.002196312,-0.00055027
915,0.000428677,0.000469208,-0.000227928,-0.002035618,0.000285149,-0.002174377,-0.001759529,0.001571178,0.00141573
916,-0.000322819,-0.001214027,0.00148201,-0.001609802,-0.000286102,-0.000515461,-0.000871182,-0.000159264,0.001217365
917,-0.001009464,-0.0008564,-0.00114584,-0.002215862,-0.001705647,0.000463486,-0.000794888,-9.92E-05,0.000293732
918,-0.001256943,-0.000733376,-0.000320911,-0.002815723,-0.000979424,-0.001608849,-0.001684189,-0.000570297,0.00121069
919,-0.001776695,-0.001645088,-0.001684189,-0.002887249,-0.001623631,-0.001104832,-0.001705647,-0.001738548,-0.000564575
920,0.000236511,-0.001200676,0.001173019,0.000458241,-0.001017094,-0.002359867,-0.000632763,0.001657009,0.001028061
921,-0.001097202,-0.001287937,-0.000738144,-0.002528191,-0.000473976,-0.00121212,-0.001877785,-0.000335693,-8.11E-05
922,0.001371861,-0.000107765,0.000473976,-0.000284672,0.000721455,0.000542164,-0.002128124,0.001005173,0.001884937
923,0.001742363,0.001761436,0.000508785,-0.000366211,0.0009408,0.000378132,0.000710964,0.001445293,0.003193378
924,0.000936031,-0.001644135,0.000847817,-0.001220703,-0.000538349,0.002004147,-0.001003742,0.00100565,0.002866268
925,-0.00124836,-0.001268387,-0.003249645,-0.002089024,-0.00134182,-0.003036022,-0.001901627,-0.003830433,-0.001342297
926,0.000145435,-0.001726627,-0.001189709,-0.003089905,-0.002214432,-0.002825737,-0.002111435,-0.001347065,-0.000116825
927,0.000201702,-0.000449181,1.91E-05,-0.003189087,-0.000465393,0.000102043,-0.00071907,-0.000275612,0.000449657
928,0.001168728,-0.000887871,0.00029707,-0.000786305,-0.000676632,-0.000858784,0.001163006,-0.000174999,-0.000319481
929,0.000990868,0.000211716,-0.002663612,-0.001782894,-0.001291752,-0.00053072,0.001715183,0.00085783,0.001928329
930,-0.002117634,-0.003522396,-0.002882957,-0.002928257,-0.003536701,-0.00287056,-0.004590988,-0.004291534,-4.01E-05
931,0.001731396,-0.000447273,-0.001707077,-0.002583504,-0.000713825,-0.00072813,-0.002279282,0.000151634,0.001531124
932,-0.000197887,-0.001980782,0.000749111,-0.001081467,-0.000768662,-0.001148224,0.000374317,0.000431061,0.000267029
933,0.000614643,0.000712395,9.54E-06,0.000763416,-0.000289917,-0.000550747,0.000759125,-0.000369549,0.002511501
934,-0.003268719,-0.003600121,-0.003473759,-0.00387001,-0.001581192,-0.002080917,-0.001014233,-0.002123833,-0.003434658
935,0.000191689,0.001673698,-0.000637531,-0.001340866,0.002406597,0.000969887,-0.000784874,-0.000605583,0.001729488
936,0.000267983,-0.001321793,-0.001692772,-0.000837803,-0.000756264,0.001610756,-0.002331257,0.002118111,0.000513554
937,-0.002130508,-0.001852989,-0.003364086,-0.002111435,-0.001085758,-0.002078533,-0.001955509,-0.000149727,-0.001064777
938,0.000221729,0.000151634,0.002131939,-0.000284672,0.000543118,0.001572609,0.001494408,0.001880646,0.000664711
939,-0.001022339,-0.000977516,-0.001625061,-0.001243114,-0.003051281,-0.003347874,-0.001507759,-0.001335144,-0.000344753
940,-0.003286362,-0.004166126,-0.004193783,-0.005973339,-0.001645565,-0.004193306,-0.005069256,-0.000842571,-0.001703262
941,0.002316952,0.000368595,-0.000832558,-0.00059557,-0.000934124,-0.001270771,-0.001288891,-0.001832008,-0.000479221
