Wavelength [nm],H2O_2ml,prot_2,prot_4,prot_6,prot_8,prot_10,prot_12,prot_14,prot_16
1070,-0.032794,-0.0254941,-0.06462431,-0.08776808,-0.07530117,-0.02735043,-0.006513596,-0.04139233,-0.0418601
1071,0.007559776,0.05169249,-0.026649,0.03056049,0.04283524,-0.01644707,-0.04324245,0.02547073,0.02136278
1072,-0.01860619,0.07620668,0.08316994,0.1057005,0.02798176,-0.02955818,-0.01111126,0.009356976,-0.04164028
1073,-0.000130177,-0.08921528,-0.106637,-0.08901024,-0.0468173,-0.08869314,-0.1057301,-0.1054969,-0.08691549
1074,-0.02010059,-0.03028774,0.02792168,-0.01158476,-0.04523611,-0.0831275,-0.006732941,0.01616335,-0.06869793
1075,0.006887913,-0.05623627,-0.05587387,-0.06290627,-0.08228683,-0.05025625,-0.1150556,-0.03301668,-0.0546422
1076,-0.0147109,0.02722883,-0.03227758,-0.0545001,-0.008063316,-0.07174587,-0.07600069,-0.03192806,-0.05426168
1077,0.08082247,-0.00818491,0.0180316,-0.001687527,-0.003993511,-0.02118254,0.01746511,-0.0015769,-0.02245522
1078,-0.06458759,-0.04287052,-0.07641602,-0.07166767,-0.03416395,-0.0848074,-0.0680809,-0.04474545,-0.1089659
1079,0.0581727,-0.008435249,-0.0316906,-0.05181789,-0.111135,-0.07142019,-0.02140427,-0.04310322,-0.1462817
1080,-0.000338554,0.07189083,-0.02081156,-0.006894588,0.02752399,0.01713324,-0.005354881,-0.01663876,-0.001844883
1081,0.08249664,-0.0763135,0.007542133,-0.02804136,-0.09192324,-0.0934763,-0.001708031,-0.1086011,-0.02252722
1082,0.02015305,0.004735947,0.04316998,-0.03968143,0.007618904,-0.025033,-0.02410936,-0.01351643,0.01533985
1083,0.01727819,-0.03088331,-0.04228354,-0.04347229,-0.06668758,-0.1204934,-0.05123425,-0.05521297,-0.04073286
1084,-0.02860546,-0.05711651,-0.1054645,-0.06301212,-0.1366768,-0.1190906,-0.02954292,-0.07280636,-0.1894612
1085,-0.02299023,-0.01173735,-0.03697729,-0.01534319,-0.01586294,-0.06408739,-0.09988689,-0.10605,-0.08591747
1086,-0.02974606,0.02456617,-0.05606413,-0.0641222,-0.0897994,-0.03754425,-0.1349826,-0.005304813,-0.09753323
1087,-0.0902338,-0.03214025,-0.1111403,-0.06217384,-0.09707403,-0.1395979,-0.1497488,-0.1770034,-0.1189508
1088,0.1516609,0.01669741,-0.02205944,-0.03852701,-0.01890278,-0.05359125,0.009529591,-0.08405495,-0.01848269
1089,-0.1279802,-0.148881,-0.1066899,-0.1128182,-0.1570306,-0.09175205,-0.157043,-0.1334777,-0.1707606
1090,0.06691694,-0.007698059,-0.106914,0.01154947,-0.0493331,-0.04651785,-0.006053448,-0.07960701,-0.02047586
1091,0.1589746,0.1234303,0.06482649,0.01981211,0.08694553,0.01431465,0.07695913,-0.007362366,-0.00014019
1092,0.18431,-0.06173754,0.0436759,0.001561165,0.008591175,0.08454895,-0.02951527,-0.03572941,-0.09410524
1093,0.03510904,0.1160812,-0.09558487,-0.002710342,-0.08785439,-0.08563471,-0.05789709,-0.04528713,-0.0765686
1094,-0.01434183,-0.06985188,0.0214076,0.03266954,0.02195024,-0.1319242,-0.09262514,-0.1506801,-0.1417594
1095,-0.02239799,-0.1082811,0.0402298,-0.04768801,-0.08336258,-0.1230211,-0.09885168,-0.164432,-0.1093435
1096,-0.07095289,-0.001012325,0.08785343,-0.03923798,-0.1355739,-0.1054449,-0.1332202,-0.07285118,-0.1057205
1097,-0.08639622,0.04973602,-0.09922314,-0.02781916,-0.08918047,-0.1067009,-0.1359754,-0.1110053,-0.1201234
1098,0.0404067,-0.08972788,-0.04103804,-0.06485319,-0.07387829,-0.09688425,-0.04173708,-0.09979057,-0.128643
1099,-0.03392458,-0.2336078,-0.2912436,-0.3451142,-0.3687525,-0.2496638,-0.3043528,-0.3250766,-0.3903627
1100,-0.2273769,-0.04670095,-0.1455598,-0.09683704,-0.1389775,-0.18504,-0.2914448,-0.1477213,-0.1829019
