ratio20	delta20	std20	ratio30	delta30	std30	fit_20_x	fit_30_y	fit_30_x	fit_30_y
						3.76506	0.026234	2.787068	0.03978
						3.795181	0.026273	2.809365	0.039837
						3.825301	0.026311	2.831661	0.039894
						3.855422	0.026349	2.853958	0.03995
						3.885542	0.026386	2.876254	0.040005
						3.915663	0.026423	2.898551	0.04006
						3.945783	0.026459	2.920847	0.040113
						3.975904	0.026494	2.943144	0.040166
						4.006024	0.02653	2.96544	0.040218
						4.036145	0.026564	2.987737	0.040269
						4.066265	0.026599	3.010033	0.04032
						4.096386	0.026633	3.03233	0.04037
						4.126506	0.026666	3.054627	0.040419
						4.156627	0.026699	3.076923	0.040468
						4.186747	0.026731	3.09922	0.040516
						4.216867	0.026764	3.121516	0.040563
						4.246988	0.026795	3.143813	0.04061
						4.277108	0.026827	3.166109	0.040656
						4.307229	0.026857	3.188406	0.040702
						4.337349	0.026888	3.210702	0.040747
						4.36747	0.026918	3.232999	0.040791
						4.39759	0.026948	3.255295	0.040835
						4.427711	0.026977	3.277592	0.040878
						4.457831	0.027006	3.299889	0.040921
						4.487952	0.027035	3.322185	0.040963
						4.518072	0.027063	3.344482	0.041004
						4.548193	0.027091	3.366778	0.041045
						4.578313	0.027119	3.389075	0.041086
						4.608434	0.027146	3.411371	0.041126
						4.638554	0.027173	3.433668	0.041166
						4.668675	0.0272	3.455964	0.041205
						4.698795	0.027226	3.478261	0.041243
						4.728916	0.027253	3.500557	0.041281
						4.759036	0.027278	3.522854	0.041319
						4.789157	0.027304	3.545151	0.041356
						4.819277	0.027329	3.567447	0.041393
						4.849398	0.027354	3.589744	0.04143
						4.879518	0.027378	3.61204	0.041466
						4.909639	0.027403	3.634337	0.041501
						4.939759	0.027427	3.656633	0.041536
						4.96988	0.027451	3.67893	0.041571
						5	0.027474	3.701226	0.041605
						5.03012	0.027498	3.723523	0.041639
						5.060241	0.027521	3.745819	0.041673
						5.090361	0.027543	3.768116	0.041706
						5.120482	0.027566	3.790412	0.041739
						5.150602	0.027588	3.812709	0.041771
						5.180723	0.02761	3.835006	0.041803
						5.210843	0.027632	3.857302	0.041835
						5.240964	0.027654	3.879599	0.041866
						5.271084	0.027675	3.901895	0.041897
						5.301205	0.027696	3.924192	0.041928
						5.331325	0.027717	3.946488	0.041958
						5.361446	0.027738	3.968785	0.041988
						5.391566	0.027758	3.991081	0.042018
						5.421687	0.027778	4.013378	0.042048
						5.451807	0.027798	4.035674	0.042077
						5.481928	0.027818	4.057971	0.042105
						5.512048	0.027838	4.080268	0.042134
						5.542169	0.027857	4.102564	0.042162
						5.572289	0.027877	4.124861	0.04219
						5.60241	0.027896	4.147157	0.042218
						5.63253	0.027914	4.169454	0.042245
						5.662651	0.027933	4.19175	0.042272
						5.692771	0.027952	4.214047	0.042299
						5.722892	0.02797	4.236343	0.042325
						5.753012	0.027988	4.25864	0.042351
						5.783133	0.028006	4.280936	0.042377
						5.813253	0.028024	4.303233	0.042403
						5.843373	0.028041	4.32553	0.042429
						5.873494	0.028059	4.347826	0.042454
						5.903614	0.028076	4.370123	0.042479
						5.933735	0.028093	4.392419	0.042503
						5.963855	0.02811	4.414716	0.042528
						5.993976	0.028127	4.437012	0.042552
						6.024096	0.028144	4.459309	0.042576
						6.054217	0.02816	4.481605	0.0426
						6.084337	0.028177	4.503902	0.042623
						6.114458	0.028193	4.526198	0.042647
						6.144578	0.028209	4.548495	0.04267
						6.174699	0.028225	4.570792	0.042693
						6.204819	0.02824	4.593088	0.042715
						6.23494	0.028256	4.615385	0.042738
						6.26506	0.028271	4.637681	0.04276
						6.295181	0.028287	4.659978	0.042782
						6.325301	0.028302	4.682274	0.042804
						6.355422	0.028317	4.704571	0.042826
						6.385542	0.028332	4.726867	0.042847
						6.415663	0.028347	4.749164	0.042868
						6.445783	0.028361	4.77146	0.042889
						6.475904	0.028376	4.793757	0.04291
						6.506024	0.02839	4.816054	0.042931
						6.536145	0.028405	4.83835	0.042951
						6.566265	0.028419	4.860647	0.042972
						6.596386	0.028433	4.882943	0.042992
						6.626506	0.028447	4.90524	0.043012
						6.656627	0.02846	4.927536	0.043032
						6.686747	0.028474	4.949833	0.043051
						6.716867	0.028488	4.972129	0.043071
						6.746988	0.028501	4.994426	0.04309
						6.777108	0.028514	5.016722	0.043109
						6.807229	0.028528	5.039019	0.043128
						6.837349	0.028541	5.061315	0.043147
						6.86747	0.028554	5.083612	0.043165
						6.89759	0.028567	5.105909	0.043184
						6.927711	0.028579	5.128205	0.043202
						6.957831	0.028592	5.150502	0.04322
						6.987952	0.028605	5.172798	0.043238
						7.018072	0.028617	5.195095	0.043256
						7.048193	0.02863	5.217391	0.043274
						7.078313	0.028642	5.239688	0.043291
						7.108434	0.028654	5.261984	0.043309
						7.138554	0.028666	5.284281	0.043326
						7.168675	0.028678	5.306577	0.043343
						7.198795	0.02869	5.328874	0.04336
						7.228916	0.028702	5.351171	0.043377
						7.259036	0.028713	5.373467	0.043394
						7.289157	0.028725	5.395764	0.04341
						7.319277	0.028737	5.41806	0.043427
						7.349398	0.028748	5.440357	0.043443
						7.379518	0.028759	5.462653	0.043459
						7.409639	0.028771	5.48495	0.043475
						7.439759	0.028782	5.507246	0.043491
						7.46988	0.028793	5.529543	0.043507
						7.5	0.028804	5.551839	0.043523
								5.574136	0.043538
								5.596433	0.043554
								5.618729	0.043569
								5.641026	0.043584
								5.663322	0.043599
								5.685619	0.043614
								5.707915	0.043629
								5.730212	0.043644
								5.752508	0.043658
								5.774805	0.043673
								5.797101	0.043687
								5.819398	0.043702
								5.841695	0.043716
								5.863991	0.04373
								5.886288	0.043744
								5.908584	0.043758
								5.930881	0.043772
								5.953177	0.043785
								5.975474	0.043799
								5.99777	0.043812
								6.020067	0.043826
								6.042363	0.043839
								6.06466	0.043852
								6.086957	0.043865
								6.109253	0.043878
								6.13155	0.043891
								6.153846	0.043904
								6.176143	0.043917
								6.198439	0.043929
								6.220736	0.043942
								6.243032	0.043954
								6.265329	0.043967
								6.287625	0.043979
								6.309922	0.043991
								6.332219	0.044003
								6.354515	0.044015
								6.376812	0.044027
								6.399108	0.044039
								6.421405	0.044051
								6.443701	0.044063
								6.465998	0.044074
								6.488294	0.044086
								6.510591	0.044097
								6.532887	0.044109
								6.555184	0.04412
								6.57748	0.044131
								6.599777	0.044142
								6.622074	0.044153
								6.64437	0.044164
								6.666667	0.044175
