0	-74	-18	92	0	84.45116932
17.6988417	-384	-223	-172	-259.6666667	110.6541158
26.54826255	-357	-107	436	-9.333333333	405.4211802
35.3976834		103	236	169.5	94.0452019
44.24710425	-66	432	568	311.3333333	333.7803669
53.0965251	26	1063	1113	734	613.6554408
61.94594595	271	883	1436	863.3333333	582.7489454
70.7953668	737	1281	2170	1396	723.388554
79.64478764	1018	1265	1376	1219.666667	183.2548317
88.49420849	1226	1638	2138	1667.333333	456.7070542
106.1930502	1683	2261	2697	2213.666667	508.6544341
123.8918919	3541	3738	3633	3637.333333	98.57146308
141.5907336					
159.2895753	4817		5766	5291.5	671.0443353
176.988417	6274	6223	6876	6457.666667	363.1836083
265.4826255	7026	6671	9056	7584.333333	1286.801591
353.976834	7595	8129	8274	7999.333333	357.5896158
442.4710425	8647	9297	9991	9311.666667	672.120029
530.965251	8920	10215	10443	9859.333333	821.4355321
619.4594595	9332	10805	11398	10511.66667	1063.777389
707.953668	10114	10906	10540	10520	396.3786069
796.4478764	10039	10993	10630	10554	481.51947

