,conc,abs
0,0.0,0.01401350849655887
1,0.5234706616729089,0.013466157905735918
2,1.045635910224439,0.013755078475987337
3,1.5665006226650064,0.01406202457657437
4,2.0860696517412936,0.014287803574921145
5,3.121339950372209,0.014711893725473135
6,4.151485148514851,0.01564009683072537
7,5.176543209876543,0.016624653765087465
8,6.196551724137931,0.016792483374649763
9,8.221568627450981,0.018235169864221946
10,10.226829268292683,0.02062431851487148
11,12.212621359223302,0.021127535110660338
12,16.126923076923077,0.023545826179282612
13,19.966666666666665,0.02582639810374064
14,23.733962264150946,0.026051550652265505
15,27.430841121495327,0.028057618620444112
16,31.05925925925926,0.028945543107730513
17,34.62110091743119,0.029261966778736444
18,38.11818181818182,0.030735517110269533
19,41.55225225225225,0.03015868662501824
20,44.925000000000004,0.03145022311271786
21,48.23805309734514,0.03174254983957325
22,51.492982456140346,0.031489745746659234
23,54.69130434782609,0.032141515637969825
