,conc,abs
0,0.0,-0.013846760190020147
1,1.045635910224439,-0.01054372014238386
2,2.0860696517412936,-0.004253877088367636
3,3.121339950372209,-0.0011314943059428772
4,4.151485148514851,0.00326467013996818
5,6.196551724137931,0.011509541556941113
6,8.221568627450981,0.019430117761590752
7,10.226829268292683,0.02279549257377224
8,12.212621359223302,0.028860556286515127
9,14.179227053140096,0.032752583567057555
10,16.126923076923077,0.03473580278326788
11,19.966666666666665,0.03528811964722534
12,23.733962264150946,0.03634725563135971
13,27.430841121495327,0.03702134667292457
14,31.05925925925926,0.03748033494754692
15,34.62110091743119,0.03560806182183968
16,39.84298642533937,0.04217447847829926
17,44.925000000000004,0.04135661335961549
18,49.872687224669605,0.04145896403765169
19,54.69130434782609,0.044287605794898585
