Wavelength (nm),h2o,nir0.5,nir1,nir1.5,nir2,nir2.5,nir3,nir3.5,nir4,prot1,prot2,prot3,prot4,prot6,prot8,prot10,prot12,prot14,prot16,prot20,prot24,prot28,prot32,prot36,prot42,prot48,prot54,prot60
376.6666565,0.000106482,-0.001037202,0.00031582,0.000717375,0.001339073,0.002021733,0.003516701,0.004298104,0.00459148,0.003673021,0.003896492,0.004677977,0.005775679,0.005712831,0.006113318,0.006183761,0.008368699,0.008716653,0.009459696,0.009672083,0.011743019,0.011093406,0.011327053,0.012327742,0.013124748,0.013637684,0.013593425,0.016207758
377,-6.31E-05,-0.002472153,-0.000318436,-0.000344457,0.000695776,0.002239959,0.001977264,0.002692028,0.004288588,0.003877451,0.00437173,0.004575391,0.005331213,0.005111848,0.006557272,0.006055067,0.007334456,0.0088831,0.008536517,0.008911212,0.011202883,0.01216612,0.011465983,0.012593817,0.0133494,0.014251981,0.014860531,0.014988887
377.333313,-0.000377564,-0.001497249,-0.000488814,-0.000296448,0.001103833,0.002118099,0.003104051,0.003044247,0.003899757,0.004289608,0.003876119,0.005747192,0.005161905,0.004434254,0.005610026,0.006384701,0.007815635,0.009905417,0.008219306,0.009535367,0.012671448,0.01227134,0.011955995,0.012849895,0.01373717,0.01368128,0.014589236,0.016145557
377.6666565,0.000639414,-0.002006697,0.000301262,-0.000872671,0.00134559,0.001959113,0.003232186,0.002706563,0.004483945,0.003806494,0.003661717,0.005430859,0.004525429,0.004670442,0.005954097,0.006491026,0.007668303,0.008514552,0.00883145,0.009205475,0.011461359,0.011544344,0.01159451,0.012154726,0.012985073,0.013565488,0.015247026,0.0155619
378,1.80E-05,-0.001745963,0.000101252,-0.000570256,0.000486722,0.001283327,0.002311285,0.002466468,0.00399701,0.003798138,0.003328899,0.004153346,0.004553313,0.005045717,0.00661588,0.005281216,0.007529002,0.008062107,0.007607946,0.008387252,0.011019694,0.011260659,0.011134012,0.011864418,0.013247921,0.013516163,0.014458965,0.015125938
378.333313,0.001207964,-0.000837948,0.000693625,-4.50E-05,0.001041527,0.001692275,0.00319419,0.003367142,0.004509159,0.00411689,0.004417753,0.00502118,0.005312922,0.004493283,0.006942757,0.006584762,0.007995605,0.009519516,0.009201509,0.010587655,0.011492562,0.012712095,0.012658629,0.013046582,0.013303222,0.013670514,0.01447256,0.01596293
378.6666565,0.001294855,-0.001148077,0.000243526,0.000554495,0.000257305,0.002189119,0.002240245,0.003347994,0.003321569,0.003501617,0.00402972,0.004690825,0.00518349,0.004312274,0.005927907,0.006363318,0.008484353,0.009826637,0.009225174,0.00871359,0.011222593,0.012409481,0.012590779,0.013250884,0.012890052,0.013555073,0.014710255,0.015513152
379,-0.000548333,-0.001649063,-0.000637,-0.000682697,0.00015133,0.000994849,0.001166044,0.001488974,0.002750664,0.001603668,0.002884974,0.003644984,0.004270968,0.004150968,0.005328881,0.005772453,0.006582107,0.009157593,0.00810963,0.008131627,0.010759968,0.010832575,0.011394865,0.012177567,0.012263672,0.013177285,0.014288522,0.014713121
379.333313,0.00056367,-0.000880369,-0.00012615,0.000380069,0.000206956,0.001179853,0.00150552,0.002352405,0.002630223,0.003212836,0.003021908,0.004496055,0.004755463,0.004746879,0.005604126,0.005687337,0.008140093,0.008273786,0.008132708,0.009187205,0.01087589,0.012310752,0.012127787,0.012381966,0.013097322,0.01396361,0.014618658,0.015095865
379.6666565,-0.000817021,-0.002453157,-0.001059927,-0.001529442,-0.001009311,-7.40E-05,-0.000295,0.000695025,0.000595371,0.00124275,0.002217946,0.002506405,0.003327778,0.003927601,0.00464985,0.004122874,0.006010839,0.006722235,0.007072477,0.007086475,0.009229034,0.009817766,0.010688381,0.011545726,0.011842923,0.011904989,0.012985926,0.013930036
380,-0.000600346,-0.001429966,-0.000292723,-0.00081237,-0.000162533,0.000272665,0.00040818,0.002022669,0.001800212,0.00169703,0.001606188,0.002525646,0.002635744,0.004193987,0.005015235,0.004546668,0.007068399,0.008199442,0.007666538,0.008682558,0.010062438,0.010327817,0.010685172,0.010941401,0.011992503,0.013375828,0.01278127,0.013472931
380.333313,0.000804686,-0.002270518,-0.001412834,-0.000479764,-0.000223908,0.000613231,0.001182734,0.001253835,0.002855816,0.001407212,0.002506952,0.002919269,0.003917727,0.003345333,0.003939434,0.004521871,0.007204973,0.008063189,0.008437581,0.008515345,0.009954969,0.009870196,0.011183387,0.011717914,0.01265042,0.012938106,0.014123896,0.015026991
380.6666565,-0.000180284,-0.00204483,-0.000357338,-0.000672256,-0.001252264,0.000756295,0.000617197,0.001651425,0.002062462,0.002028651,0.00303369,0.003460806,0.003790095,0.003775394,0.004663272,0.004572749,0.006737615,0.008069254,0.007220659,0.007543436,0.010325802,0.010303906,0.01145179,0.010952285,0.011982684,0.012497016,0.013173603,0.014336464
381,-0.001148438,-0.00181294,-0.000713969,-0.000749115,-0.000127289,0.000171761,0.001288338,0.000861173,0.001919643,0.001467883,0.001961194,0.002607748,0.003565634,0.003966654,0.004105313,0.004668872,0.005892482,0.007630813,0.007625175,0.008035394,0.008816445,0.010686154,0.010423816,0.011227002,0.01159956,0.012324573,0.013778772,0.014648777
381.333313,-0.001507877,-0.003883189,-0.002329587,-0.001969333,-0.001738074,-0.001102636,0.000242982,0.000715767,0.000760393,0.000871782,0.001710466,0.002591186,0.002354331,0.002748762,0.003458719,0.003380107,0.005924785,0.007507853,0.005996167,0.006791199,0.009109586,0.009404406,0.009356159,0.010645377,0.009762775,0.011809354,0.012754825,0.013984755
381.6666565,-0.001715023,-0.002961023,-0.001450606,-0.001920112,-0.001314878,-0.000645685,-0.000112124,0.00047747,0.000359809,0.00171504,0.002143488,0.001790621,0.002607358,0.003013514,0.003962265,0.003497781,0.005818913,0.007268723,0.006842238,0.007146733,0.009166873,0.009572016,0.010133656,0.010186733,0.010751,0.011620325,0.012259624,0.014079855
382,-0.000824772,-0.002106814,-0.000889824,-0.000738055,-0.000222407,0.000260776,0.000151071,0.000573286,0.00178563,0.002004959,0.002988856,0.003415354,0.003344159,0.00292237,0.004451201,0.004724451,0.006957435,0.007509986,0.006856097,0.008047366,0.009983973,0.01076233,0.010044317,0.011930797,0.012130688,0.012405139,0.012639066,0.015325187
382.333313,-0.000431719,-0.002809049,-0.001867225,-0.001716416,-0.00031647,-0.001697335,-6.37E-06,0.000441088,-5.59E-05,0.00071626,0.001334087,0.002541841,0.002640015,0.002553324,0.003317344,0.00423079,0.00665465,0.006864302,0.00670336,0.007727404,0.009337195,0.009972239,0.010274988,0.010874164,0.011259013,0.012284388,0.012095925,0.013209546
382.6666565,-0.001055537,-0.0023197,-0.002139065,-0.001151537,-0.00035351,-0.000404047,-0.000523358,0.000281187,-0.000540628,0.000226147,0.001874352,0.001679229,0.003061139,0.003816652,0.003715549,0.004646396,0.006399176,0.008428925,0.00725772,0.007492919,0.009632382,0.010256195,0.009738472,0.011512738,0.011175737,0.012524432,0.012438435,0.013712323
383,-0.00035858,-0.002057351,-0.000586025,-0.000624645,0.000261786,0.000884803,0.001148784,0.002027871,0.001720004,0.002335462,0.002729642,0.003993405,0.003313849,0.005214613,0.004206717,0.005369921,0.008007523,0.008076796,0.00723632,0.007478672,0.00956405,0.010582828,0.011189628,0.012189787,0.012167265,0.01386752,0.013048182,0.015233058
383.333313,3.64E-05,-0.001983042,-0.001383367,-0.000333232,-1.64E-05,0.001322922,0.001215077,0.001381347,0.001841414,0.002035699,0.003180292,0.004246814,0.004281059,0.005700293,0.004761587,0.005797741,0.006972297,0.008250753,0.008565161,0.008947677,0.010414907,0.010845394,0.011508671,0.011734642,0.013312938,0.012787001,0.014041673,0.015149472
383.6666565,-0.000822601,-0.003441895,-0.001653705,-0.002602373,-0.001583144,-0.000842805,-0.000800898,1.05E-05,0.00049022,0.001171547,0.000951652,0.003227336,0.00253541,0.002804878,0.003205039,0.003640102,0.005928721,0.007023673,0.006019422,0.007276725,0.008653906,0.009239902,0.010611741,0.010383992,0.010768911,0.012052062,0.012653084,0.013138222
384,-0.000415633,-0.00190104,-0.000682336,-0.001252213,-0.000521186,-9.72E-05,-0.000385892,-1.59E-05,0.001258741,0.001436741,0.001952535,0.002787813,0.00278599,0.003175494,0.00361828,0.00446263,0.006085911,0.007649544,0.006606943,0.007745507,0.009744906,0.009592207,0.011053389,0.011174143,0.011227613,0.012202007,0.014129004,0.013909802
384.333313,0.000536067,-0.002013344,-0.001058584,-0.001621572,-0.000184062,-0.000188771,-0.000133137,0.000709415,0.001389605,0.002156391,0.002050966,0.002576213,0.003679704,0.003853684,0.003547313,0.004864217,0.006649892,0.008173803,0.007586134,0.008124796,0.009516659,0.010010435,0.011533258,0.011510903,0.01214674,0.012747734,0.014839156,0.014353079
384.6666565,-0.000664399,-0.002313572,-0.002216438,-0.002147875,-0.001499777,-0.00065437,-0.001104391,-0.000545747,0.000451842,0.000858891,0.000530935,0.002198095,0.003037105,0.002563844,0.002966675,0.003195025,0.005509684,0.0067892,0.005841764,0.00664056,0.008865213,0.007917249,0.009261744,0.010021111,0.011159508,0.011367176,0.012582199,0.013863858
