,conc,abs
0,0.0,-0.010049233713774197
1,0.5234706616729089,-0.008075279146913781
2,1.045635910224439,-0.005435075102190184
3,1.5665006226650064,0.0016483490838043405
4,2.0860696517412936,0.009794540173714311
5,3.121339950372209,0.01510760574207089
6,4.151485148514851,0.021533486868950458
7,5.176543209876543,0.02607584980851209
8,6.196551724137931,0.031728485313149785
9,8.221568627450981,0.03233012216926874
10,10.226829268292683,0.032378922056596274
11,12.212621359223302,0.03252324966521189
12,16.126923076923077,0.033228652886425375
13,19.966666666666665,0.0334005075507586
14,23.733962264150946,0.033603154463123286
15,27.430841121495327,0.03341820838712602
16,31.05925925925926,0.03420803329994351
17,34.62110091743119,0.033584988880874425
18,38.11818181818182,0.03303982294397025
19,41.55225225225225,0.0325684346551184
20,44.925000000000004,0.03308668923392462
21,48.23805309734514,0.03189287984071658
22,51.492982456140346,0.031101383568968306
23,54.69130434782609,0.03065426226342436
