Wavelength (nm),H2O,prot5uM,nir_1,nir_1-2,nir_2,nir_2-2,nir_3,nir_3-2,nir_4,nir_4-2,nir_5,nir_5-2,nir_6,nir_6-2,nir_7,nir_7-2,nir_8,nir_8-2,nir_9,nir_9-2,nir_10,nir_10-2,nir_12,nir_12-2,nir_14,nir_14-2,nir_16,nir_16-2,nir_18,nir_18-2,nir_20,nir_20-2,nir_24,nir_24-2,nir_28,nir_28-2,nir_32,nir_32-2,nir_40,nir_40-2
332,0.000391106,-0.000368822,0.012861494,0.014143257,0.026808621,0.02652536,0.039171197,0.039870445,0.051460825,0.053420283,0.063480407,0.064645112,0.077260591,0.075977691,0.090979122,0.089433983,0.102033138,0.10476099,0.115790643,0.115474537,0.126315668,0.127420589,0.150084525,0.149293244,0.174197659,0.174236625,0.195461065,0.195534647,0.221523032,0.218080297,0.241721734,0.243096873,0.285425037,0.287229151,0.332204312,0.332017422,0.378192008,0.374062926,0.464152962,0.464226782
333,-0.000379581,0.000165236,0.01066928,0.011306063,0.025386469,0.025731936,0.036868252,0.03745478,0.051133446,0.051213708,0.063332602,0.063232854,0.075287998,0.074712254,0.089196235,0.088150404,0.099425755,0.100804687,0.113474287,0.112442881,0.124170572,0.123999506,0.147205114,0.146468282,0.169768378,0.169924781,0.193243444,0.19147706,0.21610865,0.216712087,0.237273291,0.23720713,0.283412099,0.281111687,0.32677418,0.326554745,0.369823128,0.36878562,0.456342667,0.458571076
334,-0.001958768,-0.000431098,0.011551415,0.011203255,0.023854794,0.024320582,0.035565384,0.035358682,0.050214037,0.047901571,0.061293609,0.06165392,0.073828034,0.073622845,0.085220352,0.085413918,0.097073317,0.097966433,0.10915035,0.1114081,0.120973148,0.12129917,0.142388836,0.143737108,0.167074144,0.166724548,0.189405486,0.189419106,0.210687146,0.212676719,0.233763129,0.233205333,0.278604686,0.276736975,0.320410103,0.320333183,0.36504221,0.364798218,0.449694306,0.449071288
335,-4.40E-06,0.001279978,0.012493926,0.012276506,0.025371622,0.025228309,0.036969144,0.036184732,0.0494426,0.048162106,0.060029194,0.061685041,0.072613411,0.074092813,0.083829045,0.084611952,0.097050264,0.095320158,0.108904332,0.108545169,0.11936789,0.119970441,0.142904222,0.142586246,0.16477862,0.165144399,0.184727266,0.187548876,0.207410574,0.209089801,0.229161397,0.230028942,0.274175167,0.273193777,0.317152321,0.318413228,0.361055166,0.361088306,0.446225762,0.444089621
336,-2.71E-05,0.000107078,0.011151355,0.011223257,0.023314113,0.023476386,0.034937661,0.036644001,0.046759583,0.048214402,0.058924634,0.058763649,0.071068421,0.070887633,0.081695348,0.081996858,0.094391532,0.093852624,0.105658658,0.106858462,0.118138239,0.116834171,0.139488816,0.138161942,0.161811099,0.161430538,0.182854801,0.183041498,0.205283299,0.204045028,0.225096852,0.225767762,0.268348455,0.269244403,0.310678721,0.311710775,0.353744716,0.354086071,0.438272119,0.436244935
337,-0.000500812,-0.001039629,0.009677139,0.011198021,0.020251505,0.021536583,0.033313572,0.033379398,0.045068502,0.04594798,0.056155592,0.056976806,0.068086982,0.067859009,0.07871078,0.077883855,0.089785345,0.091623969,0.101500861,0.102853857,0.112812534,0.112527601,0.134084612,0.135779142,0.157324508,0.156034917,0.177625597,0.177702367,0.199658081,0.198551387,0.220963642,0.220636204,0.261953235,0.264248163,0.305454403,0.30413568,0.346523941,0.346343696,0.429689586,0.429677993
338,0.00080147,0.002637984,0.011944554,0.012177886,0.023827257,0.023166835,0.034539245,0.03477088,0.045717552,0.044941768,0.055109553,0.058114,0.067923985,0.068326533,0.079682469,0.077990435,0.088289328,0.090677783,0.102142118,0.102074131,0.112426147,0.112317175,0.134428084,0.133835271,0.156275019,0.156705231,0.176116362,0.177604169,0.198424071,0.197321922,0.218004003,0.218722418,0.258331686,0.259473354,0.300522298,0.304396212,0.340802431,0.341428906,0.424977273,0.422947228
339,0.000147316,-0.001621572,0.010335716,0.009896836,0.022049071,0.02296374,0.032427825,0.033168063,0.042409405,0.044609368,0.055553924,0.053350996,0.065614037,0.063931569,0.076512173,0.075870797,0.087232411,0.087757334,0.0973031,0.097803377,0.109328747,0.107913576,0.130565256,0.12984094,0.151988134,0.152541965,0.172019765,0.170269519,0.192846924,0.194023937,0.21304138,0.213150635,0.254816413,0.255546868,0.292567611,0.295725465,0.336347789,0.334055573,0.414292902,0.415546775
340,-0.001337847,0.000280254,0.009867442,0.010314933,0.02070603,0.02079338,0.031609662,0.030444913,0.041816611,0.042227581,0.052653391,0.05224558,0.064331986,0.063798308,0.074177526,0.072979264,0.085782424,0.084228449,0.096366808,0.096051507,0.108551219,0.107589617,0.128112912,0.125158712,0.147919998,0.14821136,0.167446777,0.167381048,0.188766122,0.188420206,0.208895952,0.208922923,0.249009311,0.247729868,0.28963384,0.288297594,0.326947331,0.328561455,0.405086517,0.404830635
341,0.000261941,0.00012093,0.011776398,0.010201123,0.021641405,0.021817071,0.029674513,0.030207746,0.041437067,0.042927425,0.052104153,0.051178146,0.062219113,0.062053885,0.073213957,0.071979597,0.08420717,0.085706897,0.091579281,0.094921798,0.104458407,0.104349174,0.125693947,0.125174433,0.145141169,0.145574376,0.16556029,0.164407387,0.184932053,0.183112323,0.205518007,0.205565453,0.244307384,0.243738309,0.284502,0.283009708,0.322997481,0.322643638,0.398113042,0.39895609
342,-0.000874841,-0.000718466,0.010146135,0.009654906,0.02005462,0.021743476,0.029389653,0.029041208,0.038396429,0.03999551,0.048985425,0.050819349,0.06006635,0.059314262,0.070133649,0.070032142,0.081642583,0.081570238,0.09149456,0.092729576,0.101721875,0.103465974,0.122840218,0.122128382,0.143332154,0.141980827,0.161041826,0.160518706,0.181265622,0.180358514,0.20021604,0.200953588,0.238014743,0.238471955,0.276889622,0.274492413,0.314964503,0.315969229,0.391586721,0.388593763
