Wavelength (nm),H2O,prot_5uM,vel_1-2,vel_2-2,vel_3-2,vel_4-2,vel_5-2,vel_6-2,vel_7-2,vel_8-2,vel_9-2,vel_10-2,vel_12-2,vel_14-2,vel_16-2,vel_18-2,vel_20-2,vel_24-2,vel_28-2,vel_32-2,vel_40-2
390,-0.000872257,9.86E-05,0.000786791,0.000644988,0.000423857,0.001311238,0.001866189,0.002417814,0.003986142,0.003282548,0.004626328,0.005465328,0.005846067,0.005173719,0.006167849,0.007675153,0.008015459,0.009260052,0.012853148,0.013468338,0.011606181
391,-0.000438391,-0.000133551,0.000395666,0.000580207,0.000979334,0.001588599,0.001312978,0.002267411,0.004226085,0.003811534,0.00499659,0.00508385,0.005104095,0.006226641,0.006479412,0.008109287,0.008113006,0.009626533,0.012593471,0.013092946,0.011930372
392,-0.00013117,0.000784094,0.000871082,0.00127759,0.000559575,0.000845093,0.001902899,0.001610709,0.003717794,0.004050414,0.004417858,0.005422156,0.005496576,0.006669186,0.00715497,0.007962225,0.00860054,0.009901338,0.013156899,0.012829312,0.01195972
393,-0.000765343,0.000677342,0.000928901,0.000789826,0.001370129,0.000846882,0.001649372,0.001450377,0.00368268,0.003081318,0.005208719,0.004686298,0.006051077,0.005812669,0.006634804,0.00824896,0.008545704,0.00955987,0.013236072,0.013601651,0.011397097
394,-9.82E-05,0.000179168,-0.000458199,0.000577771,0.001322533,0.000601437,0.001688688,0.002126683,0.003547391,0.002918956,0.003886305,0.004997272,0.005881278,0.005770853,0.006746659,0.007503138,0.007839909,0.008918189,0.012819767,0.013432907,0.010894285
395,-0.000687091,0.000358669,2.98E-05,0.000644832,0.001733206,0.001192208,0.001659506,0.002773797,0.003643052,0.003795605,0.004463205,0.004936394,0.005563457,0.005559892,0.006657673,0.007036433,0.008207778,0.009768653,0.013249869,0.013113062,0.010941322
396,-8.36E-05,0.000940834,0.000621889,0.000866205,0.001552617,0.001695549,0.002887711,0.00269953,0.004434307,0.004425729,0.005055381,0.005728254,0.006355044,0.006490395,0.006816073,0.00774195,0.009003622,0.010107265,0.013602453,0.013819229,0.012188802
397,0.000609939,0.001019446,0.001721693,0.00124763,0.001769255,0.001848121,0.001978538,0.002390692,0.003984967,0.003903048,0.005589626,0.005469077,0.006110273,0.006582633,0.006604946,0.007845629,0.008928334,0.010443517,0.013607581,0.014642031,0.011713925
398,-0.000819346,0.00055268,9.98E-05,0.00011368,0.000388178,0.000920444,0.001090468,0.001862913,0.003190383,0.003309023,0.003868075,0.004158338,0.005199785,0.005796614,0.005989816,0.007247954,0.00770888,0.009307336,0.012689412,0.013209359,0.010807362
399,-0.001078829,0.000608643,0.000379861,0.000471147,0.000827301,0.001726865,0.001984805,0.001836241,0.003507541,0.004086316,0.004498906,0.005555592,0.005515714,0.006384333,0.006447831,0.007361995,0.007434351,0.00986715,0.013428955,0.013799,0.011160863
400,-5.34E-05,0.000364757,0.000437434,0.000672546,0.000874687,0.001086939,0.001871544,0.002140912,0.003673934,0.0042224,0.004544916,0.005333414,0.005982598,0.006487032,0.006401881,0.007707246,0.008283918,0.009623569,0.013585279,0.014265891,0.011596796
401,-0.000247606,0.000518365,0.000530468,0.000331104,0.001092077,0.000712137,0.001908749,0.002330257,0.003302971,0.003473983,0.004458733,0.005140032,0.005416993,0.005812354,0.006394919,0.007479751,0.008495362,0.009757983,0.013404447,0.013677193,0.011724802
402,-0.000277771,0.000199704,7.79E-05,0.000953987,0.000786117,0.001423885,0.001590183,0.002604519,0.003463154,0.003616949,0.004439851,0.005072849,0.005744516,0.006457762,0.006661852,0.007682636,0.008154469,0.009705912,0.013668484,0.013650266,0.011596928
403,-0.000248382,0.000305769,0.000714185,0.000582151,0.001174973,0.001107155,0.00210798,0.002847582,0.003893514,0.004109233,0.004969044,0.005034194,0.00552447,0.005989212,0.007010151,0.007753123,0.008138326,0.009960611,0.013944791,0.013947116,0.01138296
404,0.000156871,0.000707548,0.000759666,0.001051491,0.001257703,0.001289792,0.001759794,0.002582072,0.0038523,0.0035006,0.004777473,0.005200047,0.006061682,0.005895106,0.006440632,0.007302417,0.008129305,0.009547406,0.014068518,0.013980745,0.011313397
405,-0.000296397,0.000544412,0.000182664,0.000271629,0.000878604,0.001276551,0.001361923,0.001467493,0.003280123,0.003358872,0.003917962,0.005007457,0.005857506,0.005735309,0.006117414,0.006667424,0.008013851,0.009168592,0.013538328,0.013529382,0.010452691
406,0.000509191,0.000306494,0.000762545,0.001239115,0.001411965,0.001573244,0.002201763,0.002526219,0.004065804,0.003737689,0.004510964,0.005105222,0.00583371,0.006550728,0.006242475,0.007786143,0.008746314,0.009038007,0.013012732,0.013137528,0.010414721
407,-0.000332352,3.32E-05,-9.69E-05,0.000590601,0.000929731,0.001571867,0.001686116,0.002184904,0.003475758,0.003398918,0.004967814,0.004721023,0.005320495,0.005403075,0.006377792,0.007384453,0.00744736,0.009585327,0.013489165,0.014054667,0.010759278
408,-0.000809218,0.000418907,-6.53E-05,0.000211048,0.000857905,0.001193895,0.001636354,0.001751061,0.00406319,0.003138102,0.003589907,0.004614293,0.005418225,0.005757448,0.006329014,0.007426451,0.007545964,0.009690294,0.013588778,0.014187492,0.01112222
409,-0.000324592,0.000146513,-0.000272028,-0.000126046,0.000802507,0.000865816,0.001076221,0.002327368,0.003384882,0.00249409,0.003940061,0.004924089,0.005539887,0.005269267,0.006206159,0.007010099,0.007173497,0.008913696,0.013206157,0.013839511,0.010541664
410,-7.75E-05,-0.000535613,0.000428417,0.001184733,0.000541924,0.001205836,0.001444533,0.001949908,0.003474662,0.003858855,0.004254212,0.004374763,0.005477833,0.005710785,0.006034488,0.007117919,0.007655393,0.009295991,0.01379582,0.01358795,0.010164685
411,-0.00039272,0.000265412,0.000229799,0.001309187,0.001284366,0.00176151,0.001958255,0.002108084,0.003902368,0.003622274,0.004864348,0.004993239,0.005997506,0.006155666,0.006462071,0.007721844,0.00764965,0.009087355,0.013042181,0.014034482,0.010722157
412,-0.000359356,0.000204211,0.000766642,0.000675579,0.000946853,0.000979127,0.001404667,0.002264392,0.003301198,0.003539301,0.0039532,0.005492513,0.005737592,0.005768334,0.006696919,0.007123523,0.007759421,0.009673169,0.013555367,0.013870994,0.010497374
413,4.24E-05,0.000854118,0.001008471,0.001272813,0.001135054,0.001889951,0.002407064,0.002172416,0.003426495,0.003269064,0.004813383,0.005499355,0.005626993,0.005501636,0.006549835,0.007374474,0.008418024,0.009477183,0.013779734,0.014114403,0.010825728
