Wavelength (nm),H2O_2ml,vel_2,vel_4,vel_6,vel_8,vel_12,vel_16,vel_20,vel_28,vel_36
281,0.000986132,0.012623476,0.024406992,0.035760913,0.049610123,0.070832536,0.09643545,0.11999201,0.165639997,0.209739015
282,-0.001371652,0.011800709,0.023199575,0.034372676,0.04585683,0.069765449,0.094204083,0.116075628,0.159357116,0.204086512
283,0.000283544,0.011362153,0.02323674,0.033693966,0.046743292,0.06883505,0.092040204,0.114765257,0.158180013,0.20215705
284,-0.000284445,0.010626118,0.022574846,0.032869257,0.04465808,0.067381285,0.091731228,0.113375269,0.156688362,0.200010613
285,-0.000163517,0.011292354,0.022022983,0.034637693,0.045625243,0.068908639,0.091800012,0.113526233,0.156078443,0.20023492
286,6.52E-05,0.01229299,0.022389878,0.035231743,0.045674589,0.069073007,0.092779994,0.114661291,0.157749534,0.200607568
287,-0.000461043,0.010561847,0.023269786,0.035158336,0.046795417,0.069255471,0.092031024,0.115726538,0.159343183,0.202934578
288,0.000919614,0.012517185,0.02350341,0.035726737,0.04742898,0.071220063,0.095178165,0.117569611,0.16160509,0.205578834
289,-0.000927797,0.010824348,0.02309637,0.036142081,0.047746092,0.071195759,0.094442554,0.118804187,0.16325742,0.208502665
290,0.001521028,0.013797503,0.02598173,0.038486708,0.048536401,0.074290603,0.098375,0.121371947,0.168170095,0.213845849
291,0.000655487,0.013015373,0.025412597,0.038169865,0.048453189,0.073967785,0.09901949,0.123414658,0.170336068,0.21643509
292,-2.47E-05,0.011402943,0.023637954,0.03701571,0.049535144,0.074013762,0.099718407,0.123521015,0.171462849,0.218169317
293,-0.000280772,0.013595669,0.024967076,0.038280815,0.050146889,0.075422123,0.102112934,0.125215188,0.173873916,0.222107798
294,-0.000989476,0.012472507,0.025323406,0.0384675,0.050346449,0.076089449,0.102229729,0.126993865,0.175397188,0.22396405
295,0.000183052,0.01312152,0.024978317,0.038393829,0.051550299,0.077138789,0.102976725,0.128968358,0.177180409,0.225452215
296,-0.000731542,0.013532774,0.025163131,0.037976328,0.051092271,0.077148028,0.102390885,0.127116293,0.17603533,0.226409495
297,0.000475915,0.013052638,0.025879867,0.037563909,0.051007167,0.076638058,0.102211975,0.127476051,0.174879298,0.225148365
298,-0.001180709,0.012368356,0.024527244,0.037362009,0.051312804,0.076120235,0.101190962,0.12708661,0.174068436,0.221783549
299,0.000548818,0.014782963,0.025152324,0.039251037,0.051037766,0.07606823,0.100200087,0.124600589,0.171860918,0.220600709
300,0.001587326,0.014105204,0.024994358,0.038542461,0.0507272,0.075209163,0.099142708,0.122426279,0.169027776,0.217330322
301,0.001291661,0.013831174,0.024578961,0.037300993,0.049554382,0.072750047,0.097938314,0.119755492,0.165965959,0.213056043
302,0.000389059,0.01100002,0.023570308,0.03481539,0.046253588,0.07074213,0.093906611,0.116896272,0.161823794,0.207202002
303,0.000595164,0.012773592,0.023039317,0.034262523,0.045051072,0.068405978,0.090641394,0.113072269,0.156756923,0.200718626
304,-0.0008133,0.009968319,0.021811111,0.031517241,0.042811912,0.065283224,0.087634325,0.108642563,0.151679128,0.193791688
305,0.000414399,0.010122262,0.021261251,0.032656103,0.042809255,0.063427016,0.08521919,0.105151832,0.145338878,0.187316671
306,-0.000207401,0.010387068,0.020221563,0.030674567,0.040197872,0.060484882,0.07961832,0.10005822,0.139162794,0.178126574
307,0.001859559,0.011187583,0.018854683,0.028752644,0.038295206,0.056537699,0.075492777,0.094505429,0.130080149,0.168422103
308,0.000102262,0.009658028,0.017433345,0.02809497,0.036038622,0.052781437,0.070563369,0.088042758,0.122817516,0.157792822
309,-0.001098298,0.008383398,0.015411139,0.025275471,0.032296136,0.047039684,0.063297354,0.080345824,0.10915298,0.141419634
310,-0.000568549,0.005827912,0.013774229,0.022158539,0.028648855,0.041418042,0.057728406,0.071821399,0.098181896,0.127619699
311,-0.001760401,0.005004787,0.011703128,0.018375382,0.025128651,0.03686839,0.050778147,0.062084526,0.086865902,0.112904951
312,0.001399915,0.004637291,0.011425692,0.017243335,0.022555403,0.032098729,0.044886164,0.055143587,0.076496363,0.099533983
313,3.36E-05,0.004686953,0.009620499,0.014089855,0.017645221,0.026930148,0.035985779,0.047206972,0.06496501,0.085884213
314,-0.000215628,0.002317635,0.007731646,0.010271807,0.014837923,0.021918831,0.030352185,0.039956458,0.054119945,0.074073166
315,0.000230291,0.003479724,0.005603654,0.00975891,0.012626861,0.01898382,0.025906244,0.033012208,0.045176063,0.061294146
316,-0.000612651,0.002602202,0.005841843,0.009140304,0.011023358,0.015988069,0.02200844,0.026389726,0.038644139,0.051276479
317,0.001151665,0.004023633,0.005265023,0.007155417,0.009520178,0.014943981,0.017992003,0.02323278,0.032176722,0.043175131
318,-0.001189745,0.000679598,0.00165896,0.004604352,0.007071504,0.008749008,0.013542414,0.016288618,0.025067739,0.03385647
319,-0.000819449,0.001120546,0.002830307,0.003699728,0.004363023,0.006335107,0.011550192,0.014059935,0.020099623,0.026858654
320,0.000533164,4.02E-05,0.002798964,0.003669131,0.002917914,0.005062792,0.008451597,0.010200089,0.015247348,0.02206732
321,0.000818768,0.002749569,0.003773331,0.004526056,0.004738897,0.006841292,0.008090166,0.009837096,0.013669019,0.019068796
322,0.000952119,0.001454169,0.001763095,0.002099917,0.002780545,0.004334863,0.005892141,0.007679949,0.009495439,0.014694403
323,0.000259584,0.002007638,0.000682035,0.001742666,0.001615931,0.003384647,0.004281164,0.004433941,0.007925211,0.010977187
324,-0.000288688,0.001249759,0.000517665,0.001849395,0.002392227,0.001968267,0.003439462,0.003893723,0.004676774,0.009235698
325,0.000742837,0.001485545,0.001953471,0.004270524,0.002566292,0.001953263,0.003562111,0.006448277,0.007466952,0.009117648
326,0.000505407,0.002260671,0.001660286,0.001909191,0.001255315,0.001194129,0.00154659,0.002699556,0.004150837,0.007146286
327,0.001708491,0.000741282,0.002516689,0.000856168,0.001902691,0.002179961,0.003039294,0.003693592,0.004591402,0.00714726
328,0.002711981,0.001767669,0.003226188,0.002367527,0.003671089,0.002783905,0.002625457,0.002894721,0.003992778,0.00623289
329,0.001145592,0.000124892,-0.000615598,0.000816615,-0.000220389,-0.000322678,0.002495939,0.001032757,0.002045296,0.002435568
330,0.000143277,-0.000278858,-0.000278392,-0.001069584,-0.001060443,-0.000279944,-0.000737693,0.001714026,0.000334938,0.001761951
331,0.00199903,0.000592001,0.000748024,0.001223825,0.00172372,0.000742293,0.001171962,0.003174346,0.002985207,0.003437271
332,0.000747349,0.001526405,0.000293983,0.001524639,0.000893778,0.000578159,0.000721627,0.00268299,0.004087073,0.004280275
333,-0.000738365,0.00136922,0.000342503,0.000572742,0.001979032,0.001369947,0.001041086,0.002634208,0.002231554,0.003359029
334,0.001059795,0.000335767,0.000763141,0.002026024,-8.46E-05,0.00095339,0.00119226,0.000550762,0.000583058,0.002119452
335,0.000753287,0.001813469,-0.000125736,0.000462259,4.76E-05,0.000827378,0.003116514,6.14E-05,0.001215544,0.001894631
336,-0.001352247,0.000440647,0.00043207,0.000673739,0.00153425,0.000895282,0.001181047,0.001249967,0.001259365,0.001429781
337,0.001373297,-0.000484987,0.001460246,0.00095339,0.001582311,0.000685924,0.00076602,0.001222605,0.001986183,0.001473129
338,0.002214486,0.002687236,0.000553069,0.00179886,0.003039008,0.002978847,0.002546997,0.002912675,0.002812616,0.002198485
339,0.00034714,0.001631781,0.000590083,0.001301216,0.000255388,0.00114406,0.001867254,0.001489571,0.001406537,0.002140184
340,-0.002781272,-0.001668661,-0.001329795,8.58E-05,-0.001708474,-0.00116935,-0.000393082,-0.000375236,-1.63E-05,-0.000246934
341,0.000968386,0.001523859,0.000458527,0.001848485,0.000371752,0.001151354,0.000706537,0.00205159,0.00280764,0.001575011
342,0.000440621,0.001648489,0.001747319,-0.000723169,0.001527003,0.002157145,0.001798211,0.001017604,-1.76E-05,0.001207082
343,-0.000690296,-0.000387961,-0.001272294,0.000888824,-0.001132328,0.000394137,-0.000196327,0.000647632,0.000850306,-0.000134224
344,0.000232337,0.001365117,0.001011221,0.001184369,-0.00204823,-0.001291651,-0.000208487,0.000941483,0.001083773,0.000256709
345,0.001364052,0.001444793,0.001626117,0.000441269,0.001410355,-0.000512602,0.00145248,0.000822114,0.00067042,0.000467312
346,-5.82E-05,0.001334425,0.001820981,-0.000104101,0.00220871,0.001219101,0.001547343,0.001156026,-0.000267372,0.000353746
347,0.000454381,-0.000181578,0.000412844,0.000926099,0.001293349,0.002139196,0.001469233,0.002006494,0.001218426,0.002205614
348,0.000822918,0.004542431,0.001677956,0.00139898,0.000957178,0.003010438,0.004064184,0.003781399,0.001915015,0.001836241
349,0.000570383,-0.00054947,-0.001703317,0.000353591,-0.000473972,0.003753538,-0.002576487,0.003114298,-0.001268938,-0.002017982
350,0.004653016,0.000797969,0.004481591,0.005243066,0.003091459,0.004516038,-0.001114306,0.00279714,0.005345784,0.006744608
351,-0.001069946,-0.004081923,-0.005086408,-0.000800329,-0.00133155,-0.005035542,-0.004708564,-0.001637046,-0.004072075,-0.002942254
352,-0.000326196,0.003447577,0.000352788,0.000403309,0.003593614,-0.000528735,-0.000807771,0.002511014,0.002958779,0.001613333
353,0.001846847,0.002334343,0.001813755,0.004287464,0.00348536,0.000132427,0.000947709,0.003977652,0.002389234,-3.26E-05
354,0.001060236,0.00237307,0.001565243,0.001566074,0.001993595,0.000609317,0.001314068,0.000401677,-0.001340427,-0.000580545
355,0.002459205,0.002681557,0.002122339,0.004624157,0.001431573,0.001922997,0.002572984,0.005511991,0.002576343,0.003393334
356,0.000979412,0.001984025,0.001558098,0.002498126,0.003112394,0.002936234,0.001143645,0.002613425,0.001734324,0.000446711
357,6.61E-05,-0.002866605,-0.001114306,5.04E-05,-0.000787358,-0.000841152,-0.000530132,-0.00058799,0.0010223,-0.000404151
358,0.002778148,0.004106802,0.000282974,0.00170228,0.001993101,0.001501702,0.002532754,0.001966238,0.00305444,0.001726189
359,0.002014711,0.004408496,0.004331569,0.003829736,0.005567679,0.00277002,0.004585411,0.005350239,0.003580668,0.003056786
360,0.00168175,0.00017404,-8.55E-05,-0.000533751,0.001721199,0.000200326,-4.78E-05,0.000783628,0.00015076,0.000363565
361,0.002764601,0.002445928,0.003213305,0.002235275,0.002505494,0.002170595,0.001613957,0.003269377,0.003685238,0.002113521
362,0.002819573,0.00368563,0.00118276,0.004194902,0.003103791,0.002181548,0.003360255,0.004079077,0.003210776,0.002721618
363,0.001699213,0.0028813,0.001622037,0.00053941,0.00065712,0.000616601,0.000729924,0.001721355,0.000746105,0.001784772
364,0.000105757,0.000902779,-0.001175856,-0.000325782,-0.000242587,-0.000937406,8.48E-05,0.000584899,-0.001101913,-0.001771486
365,0.001076688,0.001908671,0.00068875,0.000795375,0.00036227,0.000458242,0.000314706,0.001002607,0.000941275,0.00053065
366,0.002438171,0.003309753,0.002488962,0.002149185,0.002194973,0.001877186,0.002906994,0.002452358,0.002916923,0.001763927
367,0.000541095,0.000834952,0.001222839,0.000603433,0.000284606,0.000521864,0.000438367,0.002158992,-0.00091297,3.11E-06
368,0.001506013,0.001363741,0.000696191,0.001555656,0.000632337,0.000305199,0.000926826,0.002258928,0.001281796,0.000889316
369,0.002368385,0.004076648,0.002681766,0.001761873,0.001990318,0.002095495,0.002438379,0.002164768,0.003071176,0.002485629
370,0.001705762,0.001695887,0.000790189,0.002711225,0.001929861,0.001089638,0.001234261,0.00143391,0.001752075,0.001086679
371,0.002537207,0.003899443,0.002292079,0.002334213,0.00179873,0.001629027,0.002499141,0.002762855,0.002143306,0.001674864
372,0.002206967,0.002265095,0.001259365,0.002606837,0.002063658,0.00099254,0.001083202,0.002105665,0.001634457,0.00207505
373,0.002257236,0.002601707,0.001310797,0.000318851,0.002982184,0.001634146,0.000984134,0.001941796,0.002469592,0.000965558
374,0.002728235,0.00287562,0.001863667,0.001916081,0.00228396,0.002162453,0.002901366,0.002971576,0.001120443,0.003098915
375,0.001465181,0.001622375,0.001551967,0.00090916,0.001422379,0.000904932,0.000829324,0.001501156,-0.000737383,0.001724812
376,0.002122391,0.002558819,0.001674526,0.001366909,0.003155103,0.001504429,0.001828832,0.002403003,0.001703449,0.001643915
377,0.002087639,0.001889405,0.002010836,0.001109205,0.001047547,0.000890276,0.002023944,0.002990993,0.002119712,0.00094649
378,0.001408589,0.001954979,0.001333853,0.001130071,0.001280835,0.000367425,0.001374258,0.002442232,0.001082683,0.000876425
379,0.001588001,0.002781821,0.001165966,0.001481493,0.001489857,0.001012596,0.001924583,0.002336321,0.001555189,0.000783628
380,0.000117512,0.002352483,0.000941924,0.000851265,0.000476097,0.001059458,0.000767213,0.002151682,4.81E-06,0.000466094
381,0.002223228,0.002837759,0.002061239,0.002074998,0.003351281,0.002119321,0.003620081,0.002648897,0.002558011,0.002413363
382,0.001584364,0.003105329,0.001479337,0.002486983,0.002198199,0.001453441,0.001550746,0.00272774,0.001439079,0.001766968
383,0.00186858,0.002264444,0.000976325,0.001745447,0.001908852,0.001396357,0.000927007,0.002565537,0.002388766,0.001241789
384,0.001175622,0.002362555,0.001804137,0.001917927,0.0015203,0.001416847,0.001730451,0.00179439,0.000905088,0.001735779
385,0.001201916,0.002764314,0.001076118,0.001687675,0.001522197,0.001443312,0.002034191,0.003026808,0.00211711,0.001716833
386,0.002090214,0.00276619,0.00174971,0.002277845,0.001740977,0.001423885,0.001524691,0.00209963,0.001837566,0.002146115
387,0.001613333,0.003176641,0.001937505,0.001533731,0.001414562,0.002104078,0.001305033,0.002263299,0.00105938,0.00131869
388,0.002264522,0.002879476,0.002381217,0.00234405,0.002619363,0.002874655,0.002245735,0.002905483,0.001515703,0.00247368
389,0.002338741,0.003252946,0.001865825,0.001788879,0.002286016,0.002104547,0.001540017,0.002580614,0.000343332,0.002015231
390,0.001747968,0.002118385,0.000776833,0.001126853,0.001432975,0.001743758,0.001408459,0.002471389,0.000997366,0.000894634
391,0.002479381,0.002568635,0.001317469,0.001724266,0.001501182,0.001782173,0.001701344,0.002754128,0.001880253,0.001774817
392,0.002004309,0.002945148,0.001383087,0.001622011,0.001993725,0.00200834,0.001893149,0.00272352,0.001331543,0.001823295
393,0.002272693,0.003079076,0.001119924,0.001723564,0.002478626,0.001329595,0.001756103,0.002428279,0.002131053,0.001588625
394,0.001630144,0.002966624,0.000975961,0.001681334,0.002339548,0.001352523,0.001577245,0.002267046,0.001485285,0.001030448
395,0.001576232,0.002693695,0.001167731,0.001802967,0.001147045,0.001055695,0.001490169,0.001775545,0.001256405,0.001355951
396,0.001600758,0.002935661,0.00179127,0.001849888,0.002347304,0.002094818,0.002040562,0.00316608,0.001899675,0.001535757
397,0.001485597,0.003256728,0.002285964,0.002135658,0.002336763,0.002186413,0.002238319,0.003196616,0.002309021,0.002204677
398,0.001009768,0.002068912,0.001268399,0.001654647,0.001251966,0.000729146,0.000992151,0.001573738,0.001507884,0.001043266
399,0.001900247,0.003066432,0.001797795,0.001670914,0.002187376,0.000996951,0.001779366,0.001838346,0.001424639,0.001408277
400,0.001277564,0.002465063,0.001206199,0.001719718,0.001926195,0.001315808,0.001240647,0.00299764,0.001735077,0.001597302
401,0.001811571,0.00264486,0.001947958,0.002090474,0.001942238,0.001749502,0.001636822,0.003027173,0.001644305,0.002012241
402,0.00216495,0.002433433,0.001708127,0.00181651,0.002269778,0.001703969,0.001465986,0.001992424,0.00104612,0.001232028
403,0.00257275,0.003031891,0.001765278,0.001473441,0.001893357,0.001718886,0.001577895,0.002634338,0.001111567,0.002316516
404,0.001711817,0.003103947,0.001295452,0.001856674,0.002805399,0.001675071,0.001548616,0.002341083,0.001974559,0.001053593
405,0.002001214,0.001812507,0.001708517,0.001425626,0.002035959,0.000821802,0.000914582,0.002201555,0.001899987,0.001640979
406,0.002554678,0.003075817,0.001968813,0.002574104,0.002139482,0.001796157,0.002008496,0.002313913,0.001886051,0.001740145
407,0.002248519,0.002654262,0.001933787,0.001687415,0.001829716,0.001536121,0.001353224,0.002223748,0.001161087,0.001578155
408,0.001213753,0.002148821,0.001411497,0.00187794,0.00157379,0.001583091,0.001348057,0.001690533,0.000749942,0.001128047
409,0.001941406,0.001994193,0.001556747,0.00091357,0.001984831,0.001088055,0.001444974,0.002257184,0.000906955,0.000992955
410,0.001364338,0.002032214,0.000839387,0.001023312,0.001373375,0.001054631,0.001499649,0.002098538,0.000500949,0.001272968
411,0.001438507,0.003157841,0.001661845,0.001544901,0.002500079,0.002300095,0.001523963,0.002039782,0.001674188,0.001378413
412,0.001642954,0.002277845,0.002257757,0.002143748,0.001979006,0.001655478,0.001658779,0.002546034,0.001779496,0.001139181
413,0.002567177,0.003020135,0.002417867,0.002077833,0.002430648,0.002214434,0.002017858,0.003084394,0.002043605,0.002278912
414,0.001775051,0.002856129,0.00174316,0.002184826,0.002238944,0.001849681,0.001762159,0.002318389,0.001543758,0.001143386
415,0.00197885,0.002639052,0.001753972,0.002036115,0.001972947,0.001669874,0.002069926,0.002810349,0.001319183,0.001100096
416,0.001937505,0.003281401,0.00250716,0.001986027,0.002358651,0.001648541,0.002359666,0.002973661,0.001636328,0.001373661
417,0.001708829,0.003008509,0.001248149,0.001559215,0.001751529,0.001181384,0.001785292,0.002585952,0.001457363,0.001676838
