Wavelength (nm),H2O,prot_20uM,vel_1-1,vel_1-2,vel_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3,vel_36-1,vel_36-2,vel_36-3,vel_40-1,vel_40-2,vel_40-3
354,-0.000321437,0.001216868,0.002465088,0.0049675,0.003780668,0.004696006,0.006375953,0.002450328,0.006513046,0.006382914,0.004137482,0.006066066,0.008320382,0.002762334,0.008414751,0.009063195,0.005118868,0.008619869,0.007000733,0.009106573,0.006538824,0.007172233,0.007964229,0.008098263,0.004976192,0.006970613,0.008615274,0.007954395,0.007527817,0.010451286,0.007913743,0.006439476,0.010259774,0.011128036,0.009101233,0.012216438,0.011339169,0.010346135,0.010247025,0.011702011,0.009013374,0.010062676,0.010948012,0.010819729,0.01073821,0.011277716,0.011551867,0.013059253,0.011998172,0.013128404,0.010681909,0.015721086,0.01277098,0.013588591,0.01258934,0.012215399,0.013053197,0.016450249,0.015597989,0.014427466,0.014486182,0.016159153
355,0.00127842,0.002857249,0.00361982,0.004061414,0.003054883,0.004322026,0.004842542,0.005223888,0.00465032,0.004579315,0.002092269,0.005269555,0.005021808,0.001751165,0.008936183,0.008982189,0.00570192,0.004990306,0.004859269,0.007015123,0.004044718,0.005085735,0.005240079,0.005093959,0.007328137,0.005731113,0.007475038,0.005810203,0.007947989,0.008172774,0.0082316,0.007809072,0.008034287,0.007577468,0.008281701,0.00760921,0.006461125,0.010607682,0.008213529,0.009437658,0.010334656,0.008079222,0.009816919,0.010033482,0.007681819,0.009868818,0.010127137,0.009890401,0.012009747,0.010561847,0.00882083,0.012167957,0.012061537,0.011198925,0.01207386,0.009936218,0.011899669,0.012645969,0.013058266,0.012283083,0.011549979,0.014851049
356,0.000539514,0.002327602,0.001007485,0.000795661,0.00081633,0.002460819,0.004504843,0.002644677,0.003766855,0.005223993,0.005933208,0.004100034,0.004487528,0.005438303,0.004817048,0.007182918,0.008793912,0.004141455,0.004806316,0.006479438,0.010099211,0.006651338,0.005123897,0.006257365,0.006285099,0.006488503,0.007569012,0.006955725,0.00569038,0.006562081,0.005137753,0.005643855,0.007117761,0.00696288,0.005515478,0.010389746,0.008556766,0.006020629,0.008219702,0.009739796,0.007591745,0.007029329,0.009479697,0.008665182,0.00955897,0.01012878,0.011836699,0.008928599,0.012112162,0.008493117,0.010059073,0.008012744,0.011822254,0.011857236,0.013084009,0.010463511,0.013979809,0.011667548,0.014273809,0.010353292,0.012236353,0.012601571
357,-0.001784944,-0.001629722,0.001185563,0.000247489,-0.000201915,0.002549471,0.002424218,0.001678813,0.00311422,0.002483755,0.002245163,0.001079906,0.003855277,0.002891307,0.005149227,0.006673076,0.005566578,0.002882108,0.003923343,0.003422764,0.002994564,0.002926722,0.003926399,0.005765344,0.00640816,0.00489118,0.005116065,0.003547417,0.003877582,0.00586648,0.0038482,0.005758209,0.007849451,0.005189018,0.006490001,0.00807553,0.007088895,0.006382152,0.008636979,0.006899359,0.005621879,0.007124287,0.005251241,0.007770094,0.005457071,0.008338985,0.005165206,0.009183054,0.008315052,0.007964202,0.008741745,0.008891211,0.007324741,0.009206744,0.0088375,0.009308499,0.00970398,0.009606287,0.009850997,0.012235926,0.011612137,0.012779537
358,-0.002358217,-1.41E-05,0.000571653,-0.000582871,0.00024495,-7.57E-05,0.003494363,0.001918161,0.000415513,0.001120728,0.000130407,-4.43E-05,-3.16E-06,0.002804227,0.002317583,0.003643731,0.005103807,0.001481597,0.00123639,0.00152134,0.001522638,0.003485908,0.002091359,0.001572959,0.003687066,0.001285326,0.003119173,0.001643967,0.004086107,0.004453764,0.002786563,0.003130384,0.004248069,0.00281358,0.001445806,0.004195608,0.004030766,0.005724004,0.006533306,0.00506955,0.00522918,0.006664244,0.005091916,0.005594739,0.006040131,0.007965495,0.00648761,0.005467582,0.007373053,0.006777605,0.005190983,0.006329565,0.006550728,0.009731537,0.007245743,0.005988451,0.009110352,0.005757973,0.009180674,0.010828355,0.009231176,0.008260726
359,0.003383916,0.004326445,0.004753709,0.003046228,0.004211317,0.005909066,0.004193857,0.004836496,0.004299961,0.004991144,0.004806473,0.006871561,0.0077166,0.007858518,0.009946282,0.009528805,0.011417799,0.009199394,0.007419974,0.006422609,0.008708572,0.006433538,0.008591405,0.008278087,0.010468098,0.00891079,0.009510018,0.007069109,0.008911688,0.009637887,0.008255819,0.009711365,0.010026144,0.010469238,0.011017703,0.011981886,0.010522065,0.011676802,0.012752612,0.012284442,0.011599136,0.012536155,0.012321004,0.010174543,0.010326756,0.012147618,0.012955789,0.010139379,0.011617799,0.012808009,0.013552723,0.011963259,0.010028157,0.012483829,0.014420322,0.014034909,0.015708419,0.00906642,0.014321215,0.013089345,0.015500463,0.013172242
360,-0.000790821,0.001713532,0.002663768,0.002991176,0.00262801,0.003630862,0.003106007,0.002894773,0.004441237,0.004523284,0.004009969,0.005102707,0.005016256,0.005484334,0.007040853,0.008849916,0.007401173,0.004647286,0.006574381,0.005793885,0.005679286,0.005437857,0.006132562,0.007680449,0.006394999,0.004994862,0.006909169,0.007879421,0.007236952,0.008047234,0.00738448,0.007077082,0.007541539,0.007427952,0.008851369,0.009348701,0.009718962,0.007108841,0.009279673,0.010691433,0.007565667,0.010436729,0.007680476,0.008878265,0.009143,0.009471045,0.010527793,0.011537219,0.011111332,0.009625898,0.010582934,0.00963606,0.010810388,0.011802943,0.010468814,0.010984064,0.012560988,0.011839146,0.014300053,0.013318143,0.013091533,0.01393172
361,-6.83E-05,0.000319214,0.00128003,0.001458844,0.001101472,0.003825035,0.001610215,0.00054379,0.005235887,0.002278392,0.005413271,0.004195399,0.004096271,0.004301085,0.007079713,0.006974322,0.006861462,0.005282788,0.005430046,0.00478632,0.005864932,0.005215819,0.004827229,0.004226163,0.006549467,0.006440159,0.005363133,0.004862175,0.007903989,0.006606339,0.006505399,0.005484649,0.00823445,0.007022147,0.006045355,0.00785459,0.007637136,0.006697576,0.007838327,0.008392635,0.007246243,0.010693688,0.007459842,0.009033064,0.009250876,0.009567915,0.006487163,0.007516439,0.010922368,0.008247192,0.008833827,0.009490756,0.00818591,0.010968373,0.008853748,0.010108113,0.01029765,0.011181448,0.011910231,0.011110615,0.011706426,0.012726408
362,-0.000844097,0.000223298,0.000796335,0.002537129,0.002179675,0.002235587,0.003794012,0.003057542,0.005262612,0.003351124,0.001629858,0.003320083,0.001891147,0.004126715,0.006253216,0.00448983,0.005817339,0.004522499,0.004845762,0.003367377,0.005555932,0.004834585,0.00592956,0.003123475,0.005507587,0.005036132,0.004582062,0.00472432,0.005232874,0.005955199,0.006124423,0.005401188,0.006877662,0.006854151,0.005280718,0.007291203,0.006735617,0.007219343,0.008284946,0.008790372,0.005334122,0.007183182,0.0058881,0.008190315,0.006934577,0.007988512,0.009069989,0.008325581,0.008489765,0.008910077,0.008403561,0.00858029,0.009794969,0.008818056,0.00894197,0.008350833,0.007996159,0.010647738,0.010694616,0.01040279,0.009277743,0.008725581
363,-0.00037146,0.002795551,0.001997652,0.00242906,0.002818426,0.002355216,0.002672259,0.004914428,0.004380725,0.00391825,0.004669186,0.004996014,0.004912412,0.003088409,0.005697854,0.007477539,0.00755521,0.006625421,0.005761907,0.005130891,0.005960842,0.006409263,0.0066434,0.005867477,0.005909434,0.006556405,0.007416076,0.005887208,0.008674477,0.006709222,0.00665925,0.005061378,0.00838514,0.007367076,0.008994399,0.00923152,0.008981423,0.008302677,0.009602184,0.0099564,0.007725296,0.008276055,0.009051328,0.007987931,0.009991363,0.009752054,0.008250648,0.011370338,0.009532985,0.009640798,0.011018658,0.011696241,0.011427313,0.010189197,0.011513614,0.010039628,0.011266451,0.011014994,0.011640533,0.012566904,0.012763328,0.014057074
364,-0.001492038,-0.000518238,-0.000269234,-6.48E-05,-0.000563793,0.00072549,0.001713558,0.000240962,0.001510403,0.000777767,0.001675253,0.001675461,0.003334508,0.002177021,0.00377555,0.004653382,0.004406273,0.004214846,0.002091307,0.002605196,0.003463259,0.00118655,0.001559709,0.002334473,0.00393643,0.003722102,0.003955447,0.003041093,0.00392841,0.004593547,0.004213748,0.004029668,0.005519175,0.005228552,0.005805769,0.005237878,0.004290052,0.006293634,0.005719021,0.005078035,0.006226798,0.006403536,0.005884794,0.005560338,0.006543843,0.006176881,0.006927528,0.007184892,0.00702854,0.006425578,0.007705691,0.006829353,0.007931353,0.006704963,0.009285809,0.007538616,0.008480052,0.008596765,0.009509489,0.010195027,0.009997244,0.00902873
