Wavelength (nm),H2O,prot_1uM,mef_1-1,mef_1-2,mef_1-3,mef_2-1,mef_2-2,mef_2-3,mef_3-1,mef_3-2,mef_3-3,mef_4-1,mef_4-2,mef_4-3,mef_5-1,mef_5-2,mef_5-3,mef_6-1,mef_6-2,mef_6-3,mef_7-1,mef_7-2,mef_7-3,mef_8-1,mef_8-2,mef_8-3,mef_9-1,mef_9-2,mef_9-3,mef_10-1,mef_10-2,mef_10-3,mef_12-1,mef_12-2,mef_12-3,mef_14-1,mef_14-2,mef_14-3,mef_16-1,mef_16-2,mef_16-3,mef_18-1,mef_18-2,mef_18-3,mef_20-1,mef_20-2,mef_20-3,mef_24-1,mef_24-2,mef_24-3,mef_28-1,mef_28-2,mef_28-3,mef_32,mef_32-2,mef_32-3,mef_36-1,mef_36-2,mef_36-3,mef_40-1,mef_40-2,mef_40-3
366,-0.000526202,-0.000584578,0.000158244,-0.00084389,0.001853554,0.0004535,-0.001405609,0.01137645,0.000748464,-0.000926867,-0.000592126,-1.50E-05,-0.000985241,5.74E-05,-0.000921184,-6.19E-05,-0.000255316,-0.000539284,-0.001087453,0.000758733,-0.000626971,-0.001351834,0.000106663,0.00054506,-0.000935908,0.001063688,0.002718414,0.000209209,0.001107674,0.00036512,0.007418999,0.000380613,0.001848901,0.00125059,-0.00021154,0.002065531,0.002368828,0.000931651,4.16E-05,0.001364961,0.001679567,0.002941473,0.001756571,0.007441751,0.005634361,0.000805827,0.002640562,0.002257496,0.001759976,0.001665976,0.003767769,0.001888547,0.001305708,0.002495158,0.004670546,0.0015787,0.002758791,0.004947129,0.002713257,0.004445578,0.002833981,0.003805893
367,-0.000992524,-0.001468768,-0.000738933,-0.001852533,-0.000378495,-0.001364478,-0.000893286,0.01248953,0.000133022,-4.87E-05,-0.000480023,0.000376571,0.000615772,-0.00058892,-0.000976149,-0.000870242,0.001107207,0.001601407,-0.001337795,0.001644799,0.000208225,-0.000669413,0.000389344,0.00047405,0.000280954,-0.00027358,0.001558228,0.000510538,-0.000202278,0.001135859,0.007226503,0.001149173,0.001379451,0.002118931,0.001634951,0.001870998,0.001940886,0.0008044,0.000916916,0.00089479,0.001108219,0.002189795,0.001503754,0.009898691,0.004799432,0.001939352,0.001703865,0.001436456,0.002751523,0.001235195,0.002579728,0.003242018,0.001735415,0.003446011,0.0049199,0.003406118,0.005069707,0.003194347,0.002470347,0.004282209,0.00475159,0.003962239
368,-0.001130314,-0.001617601,-0.000132878,-0.001226194,0.005726444,1.04E-05,-0.001055072,0.010853196,-0.000423081,-0.000448889,-0.000559449,-0.001705019,0.000154981,0.0009392,0.000192634,0.000442176,-0.000296655,-0.000264888,0.000533086,0.000565899,0.000232441,-0.000408651,-0.000145248,-0.000132257,0.000599181,0.000620049,0.003197633,9.58E-05,0.000617871,-0.000275546,0.006073914,-1.32E-05,0.000739648,0.001957631,0.001275305,0.001248565,0.001521417,0.002171037,0.001962416,0.000644884,0.00098896,0.002554861,0.002836899,0.003768239,0.005530107,0.003014739,0.000907422,0.002487321,0.000993163,0.00098953,0.001815081,0.001946138,0.003194608,0.002457981,0.004603619,0.002761501,0.00240683,0.00370239,0.004170909,0.002845524,0.005046294,0.003807852
369,-0.000141573,0.000308904,0.00044469,3.03E-05,0.006115996,0.00018616,0.000358695,0.009991628,0.001577531,2.09E-05,0.000694765,0.000705136,0.000365923,0.000417586,0.000893,7.87E-05,0.000417431,0.001398746,0.000681361,0.001044771,0.002198121,0.000760418,0.001238311,0.001547915,0.000284088,0.000738948,0.004057939,0.001454714,-0.001072528,0.001913844,0.008964378,0.001664677,0.00194177,0.002096275,0.002028495,0.001855348,0.001889717,0.001911609,0.001912831,0.003900305,0.002978326,0.004302078,0.003699858,0.002094142,0.00508584,0.001999498,0.002063164,0.003892522,0.003442489,0.00353784,0.005386327,0.003268542,0.00394202,0.003799208,0.004959383,0.004481931,0.005448264,0.005120806,0.004314418,0.005805376,0.004962629,0.003737663
370,-0.001455714,0.000128051,-0.000812421,-0.000409582,-0.000681457,-0.001696716,-0.000170348,0.01172568,-0.000235343,-0.002042047,-0.000259403,-0.000134431,-0.000364839,-0.000492693,0.000306831,0.000573701,-0.000166053,-0.000714848,0.000161144,-9.84E-06,0.000140506,-0.000683886,-0.000881971,0.001569659,-0.000282479,-0.000624748,0.002037546,-4.65E-05,-0.000316936,0.00013644,0.008247456,0.000549,0.001278265,0.000952975,0.00087409,0.002132744,0.000949058,0.000766072,0.001351355,0.001551214,0.001416873,0.003353316,0.00252398,0.007570092,0.005879441,0.000745534,0.001918889,0.002150252,0.002427316,0.001908879,0.003325378,0.002787839,0.000758188,0.001804553,0.002968682,0.002513097,0.003189836,0.003831825,0.00303833,0.003484577,0.003505271,0.003636187
371,-0.001865679,-0.001181897,-0.001600218,-0.001188144,0.006468876,-0.002386846,-0.00253629,0.008513813,-0.001543113,-0.000870294,-0.001082754,-0.001132948,-0.001536923,-0.000908837,-0.00064858,-0.002262484,-0.000673548,-0.000596986,-0.000430115,-0.000253712,-0.000125218,-0.000483901,-0.000970054,-0.000535044,-0.001214423,-0.001073561,0.001820306,-0.001196044,-0.000830766,-0.000713607,0.006794801,0.000402247,0.000593375,0.00089287,-0.000243984,0.001603252,0.000432796,0.000511031,0.000115777,0.000996613,0.000961251,0.001700565,0.001656362,0.008908121,0.004613064,0.00089868,0.000169379,0.001615308,0.000572327,0.001083384,0.002181236,0.00228076,0.001218763,0.001052088,0.002947858,0.00239431,0.003219564,0.003307719,0.002776559,0.002516689,0.003740614,0.002532546
372,-0.000664037,-0.000808442,-0.000372184,-0.000692208,0.003090729,-5.49E-06,-0.001132948,0.010474144,-0.000987048,-0.001835057,-0.000751337,-0.00069655,-7.52E-05,-0.000335818,-0.000321643,-0.000430684,-0.000575995,0.00147209,0.000156742,0.000306805,0.000743071,8.76E-05,-0.000597399,0.000681024,4.40E-05,0.000182457,0.002391342,-9.63E-06,0.001245164,0.000209183,0.008869203,0.001729282,0.001081437,0.002073516,0.000946152,0.001233196,0.001651165,0.001083617,0.00146048,0.001983297,0.001442975,0.002939805,0.002454025,0.005932421,0.005146476,0.002146401,0.002632905,0.003401787,0.00194671,0.001275487,0.002933733,0.001336476,0.00233338,0.002430674,0.004064549,0.0026963,0.004415713,0.004145662,0.003798216,0.003782261,0.00432336,0.00278513
373,-0.001254536,-0.00109995,-0.001343163,-0.000854431,0.001398201,-0.000193998,-7.16E-05,0.008784455,-0.001138989,-0.001313691,-0.000716605,-3.86E-05,-0.000888481,-0.000525943,-0.000871947,-0.000311607,-0.001020054,-0.000466939,-0.000469059,0.000406989,-0.001160727,-0.000825805,-0.001160056,-0.001717034,-0.000772371,-7.82E-06,0.001626013,0.000309292,-0.00058618,0.000770662,0.008693122,0.000312789,0.000463295,0.000930458,-9.70E-05,0.000537285,0.000169275,0.000785728,0.000453474,0.002201451,0.0001642,0.002559626,0.001253679,0.002328747,0.005772033,0.000202424,0.000876399,0.001765954,0.000686935,0.001325155,0.003532281,0.001143671,0.000704722,0.002973113,0.00275491,0.002250393,0.004238005,0.00395448,0.002770202,0.003156458,0.003243922,0.003627808
374,-0.001540534,-0.001736475,-0.000968866,-0.000820638,0.001821501,-0.001238016,-0.001365201,0.008957031,-0.001499261,-0.000844459,-0.000161861,-0.00027922,-0.001056983,-0.00045644,-0.001475166,-0.000415633,-0.001457468,-0.000421219,-0.000219665,5.72E-05,-0.00063395,-0.000188409,-0.001264602,-0.000366494,-0.001441473,-0.00095249,0.000786791,-0.000243984,0.00022164,-0.000104981,0.008311859,5.73E-05,0.001406122,0.000848827,0.000536766,0.000910535,0.000505277,0.000208743,0.000495896,0.000734281,0.000908641,0.00224472,0.001386151,0.001217595,0.004204155,0.000742293,0.001157142,0.000842655,0.001692534,0.000958112,0.002439707,0.001654023,0.001056058,0.001181021,0.002775725,0.001950845,0.003665946,0.003470852,0.002920989,0.003280671,0.003089738,0.002126163
375,-0.001934286,-0.001537903,-0.000676856,-0.000904549,-0.000348596,-0.001070411,-0.000559088,0.00713826,-0.001023773,-0.000489538,-0.001463402,-7.64E-05,-0.001094735,-0.001905164,-0.000456027,-0.000883986,-0.001186027,-0.001208228,0.00021672,-0.000650183,-0.000333232,-0.000763586,-0.000447338,-0.000724513,-0.000876701,-0.000376271,0.001034002,-0.001452102,-0.000508103,-0.000304519,0.0087105,0.000886281,0.000425515,-0.000210609,0.00134533,0.000370871,0.00036771,0.0004123,0.001789945,0.001026166,0.000484001,0.002765877,0.002049795,0.00458923,0.004312065,0.002382727,0.000653724,0.001639888,0.000773436,0.001155117,0.002238996,0.002224451,0.00152108,0.001763511,0.002550486,0.002448063,0.002407663,0.003556709,0.002198147,0.00340184,0.002593061,0.001974456
