Wavelength (nm),H2O,prot_15uM,vel_4uM_1-1,vel_4uM_1-2,vel_4uM_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3,vel_36-1,vel_36-2,vel_36-3,vel_40-1,vel_40-2,vel_40-3
496,-1.18E-05,-0.001786439,-0.001140125,-0.000998257,-0.001025994,-0.000137433,-0.000472938,-0.000483798,0.000135172,2.89E-05,-0.000111347,0.000825044,0.000501027,0.000299967,0.000776159,0.00066845,0.000624974,0.001386801,0.000754766,0.001470844,0.002697446,0.002318572,0.002528276,0.00249094,0.003086662,0.00268411,0.003658532,0.004251336,0.004334968,0.004488941,0.003988128,0.003736384,0.004550357,0.003861833,0.004109913,0.005245188,0.004300536,0.004148197,0.004876834,0.00459823,0.004614372,0.004976873,0.005568072,0.005469182,0.005443126,0.005231695,0.005012721,0.005813115,0.005593244,0.005834838,0.005900643,0.005845123,0.00552413,0.0062409,0.005972888,0.005333414,0.007618484,0.007118155,0.007199499,0.007474458,0.007334403,0.00664035
497,-0.002563003,-0.001543423,-0.000985809,-0.000984569,-0.001390076,-0.000707301,-0.000537164,-0.000300484,0.000194007,-2.74E-05,3.87E-05,0.000819338,0.000516758,0.000609032,0.000715741,0.000524948,0.000647528,0.00143617,0.000977881,0.00118154,0.002606134,0.002711147,0.002430179,0.003108301,0.003167541,0.002987996,0.004063086,0.004835265,0.003959731,0.00418876,0.003719805,0.004021752,0.004590931,0.004465507,0.004095801,0.005223678,0.004824114,0.004693913,0.004868981,0.004961372,0.004540286,0.00495501,0.005570904,0.005641704,0.005594188,0.005599957,0.005278333,0.00581099,0.005273931,0.00585197,0.006197204,0.005731034,0.005250376,0.006464199,0.005949688,0.005855066,0.007553576,0.007536166,0.007778053,0.00748523,0.007502348,0.007118629
498,-0.002285453,-0.001260989,-0.000860012,-0.000780227,-0.000770769,-0.000126305,-0.000244916,-0.000413513,0.000476408,0.000618079,0.000271111,0.001238233,0.0007919,0.000692147,0.000811195,0.000853003,0.000544231,0.001895775,0.00150378,0.00130846,0.00266843,0.003067136,0.002625796,0.003282392,0.003360437,0.002976059,0.003973733,0.004786476,0.004068626,0.004442623,0.00406677,0.004133144,0.0047384,0.00451201,0.004462237,0.005606591,0.004984546,0.004808253,0.004952366,0.005132908,0.005217731,0.005698195,0.005888756,0.006408975,0.005533096,0.005275294,0.005330899,0.006176986,0.005991338,0.006221572,0.00609909,0.005809836,0.005726339,0.006634095,0.006124108,0.005798686,0.007364206,0.007162786,0.007640139,0.008062292,0.007807939,0.007148654
499,-0.00213041,-0.001318595,-0.0003577,-0.000271821,-0.000466577,-0.000180595,-0.000180905,0.00018155,0.000476771,0.000523056,0.000413596,0.001271463,0.000512508,0.001135158,0.00101091,0.000787077,0.001080892,0.002275087,0.001665951,0.001912025,0.003058715,0.003158206,0.002397615,0.00330944,0.003496842,0.002941108,0.004212806,0.0049282,0.004483108,0.004851914,0.004580833,0.004372358,0.005044591,0.004994784,0.00481511,0.005573841,0.005061012,0.004948962,0.005341381,0.0054739,0.005074342,0.005943364,0.006181292,0.006210701,0.006088956,0.005646451,0.005617867,0.006679937,0.005186739,0.007016833,0.006464409,0.006361059,0.005864144,0.006385857,0.006531387,0.006134505,0.008277137,0.007458104,0.007686588,0.00776456,0.007896318,0.007550284
500,-0.00238736,-0.001395701,-0.0007195,-0.000975684,-0.000970622,-0.000485556,-0.000370374,-6.45E-05,0.000153868,0.000100009,0.000333643,0.00111411,0.000425567,0.000931573,0.000594516,0.000850669,0.000330379,0.001741861,0.001546096,0.001596419,0.002716252,0.002637359,0.002404669,0.003204778,0.003268881,0.002549991,0.004075524,0.004878117,0.003879044,0.004534296,0.004328562,0.004150994,0.004702758,0.004650451,0.004355545,0.005123949,0.004711132,0.004800139,0.005283155,0.005250062,0.004966243,0.005420689,0.006068087,0.005580815,0.005335432,0.00539322,0.005303777,0.005697723,0.005439299,0.006733777,0.00602895,0.005973308,0.005498438,0.006268763,0.006121247,0.005725237,0.007452653,0.007636529,0.007622014,0.007706429,0.007378371,0.007351911
501,-0.002472874,-0.001718066,-0.000840997,-0.00125402,-0.001145444,-0.000387857,-0.000392927,-0.001144411,-5.87E-05,-0.000603604,-7.01E-05,0.000860525,0.000356026,0.000218869,3.55E-05,0.000380224,-0.000238862,0.001115434,0.000973393,0.001216868,0.002465036,0.002503203,0.002231372,0.003042266,0.002607592,0.002249612,0.003474114,0.004177182,0.003513674,0.004313215,0.003652946,0.003896466,0.004405802,0.0043551,0.004079365,0.004980434,0.004209565,0.004273399,0.004676486,0.004461793,0.004541254,0.005145009,0.005324033,0.005190092,0.005182181,0.004981429,0.004879845,0.005131729,0.005622089,0.00681276,0.006101688,0.006057587,0.005264315,0.006282683,0.00563111,0.005813404,0.007449677,0.006781207,0.007565535,0.007259667,0.007415866,0.006688007
502,-0.002337878,-0.001507619,-0.00064827,-0.001041385,-0.000863939,-0.000351493,-0.000273425,-0.000326403,0.000138124,-0.000108397,0.000101433,0.000914374,0.000433962,0.000646465,0.000277612,0.000954247,0.000310432,0.001666782,0.001442221,0.001607383,0.002520934,0.002792138,0.002450588,0.0030675,0.003015443,0.002187376,0.003617001,0.004438988,0.003824696,0.004419217,0.003957093,0.003715993,0.004420264,0.004407188,0.004282053,0.005110591,0.004757792,0.004450783,0.004918958,0.004805923,0.004666726,0.005271468,0.005499932,0.005259573,0.00527042,0.005083902,0.004589021,0.005333598,0.006117624,0.006484404,0.005863305,0.005776886,0.005568308,0.006208417,0.006132168,0.005649781,0.006967272,0.00713126,0.007597778,0.007628257,0.007622092,0.007135997
503,-0.001806392,-0.000866935,-0.000104722,-0.000539181,-0.000700375,-0.000281341,-0.000155081,0.00020649,0.000258082,0.000527281,0.000324446,0.001209159,0.000649369,0.000778726,0.001566126,0.001313549,0.00118019,0.002096093,0.001523132,0.001902327,0.002799172,0.003146237,0.0030376,0.002951846,0.003224337,0.00298148,0.004284275,0.005361377,0.004562521,0.00506769,0.004575104,0.004690773,0.004861128,0.004838407,0.004858536,0.005366435,0.005010678,0.004716339,0.004956764,0.004934823,0.005342586,0.005821379,0.006131459,0.005954596,0.005561806,0.005659301,0.005372279,0.005943101,0.005985197,0.006968824,0.006061419,0.00653391,0.0056721,0.006600899,0.006102266,0.005711283,0.007809889,0.007436906,0.00770722,0.00800573,0.008101244,0.007431718
504,-0.00206812,-0.00104624,-0.000387133,-0.00086523,-0.001133825,-0.000621595,-0.000687246,-8.67E-05,-3.37E-05,-0.00012791,0.000669098,0.001049208,0.000450701,0.000491801,0.001231821,0.00082603,0.000188594,0.001734635,0.001419133,0.001450896,0.00266942,0.002823585,0.00234556,0.002395299,0.003600948,0.002756916,0.003882544,0.004471548,0.003911406,0.004715501,0.004430018,0.004287516,0.004418485,0.004307647,0.004407084,0.005244245,0.004688784,0.004112212,0.004714428,0.005070466,0.00475316,0.005264367,0.005743624,0.005615376,0.006005117,0.005572267,0.004858955,0.00562993,0.005292719,0.006576325,0.006214824,0.005971497,0.005227975,0.00608515,0.005494977,0.005524235,0.007295125,0.006552174,0.007484861,0.007209869,0.007834322,0.006964537
505,-0.002144217,-0.001473567,-0.000941332,-0.001037977,-0.001580359,-0.000697171,-0.000948771,-0.000881816,-0.000506552,-0.000593677,-0.000212886,0.000247489,-0.00016274,7.99E-05,0.000856712,0.00053516,0.000148171,0.001565606,0.000250674,0.000944855,0.002084024,0.002481412,0.002000642,0.002398761,0.002950204,0.002833486,0.003621334,0.003961246,0.00355804,0.004252617,0.003643026,0.003657409,0.003553133,0.003971043,0.004050858,0.005134112,0.004681562,0.003705758,0.004301791,0.004704903,0.004687921,0.005128664,0.005532179,0.005092152,0.005343242,0.005637089,0.004699303,0.005349741,0.004631901,0.006242292,0.005321124,0.00572786,0.004618793,0.006052652,0.005424751,0.005213775,0.006952805,0.0064405,0.006674916,0.007201025,0.006880397,0.006591673
