Wavelength (nm),H2O,prot_5uM,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_12,vel_14,vel_16,vel_18,vel_20,vel_24,vel_28,vel_32,vel_40
635,0.000205609,6.53E-05,0.000385458,0.000948435,0.00076742,0.001043422,0.001343695,0.001456584,0.001637731,0.002838645,0.002649287,0.003836265,0.003796127,0.004176162,0.003867866,0.004668741,0.007358598,0.005585299,0.006529916,0.007072267,0.0066664
636,-0.000421219,3.13E-06,-0.000106068,0.000251348,0.000695051,0.000899018,0.001000869,0.00131521,0.001364702,0.002511456,0.002334265,0.003727533,0.002992088,0.003806468,0.003426938,0.003924101,0.00654768,0.005122954,0.005992991,0.006789279,0.006504584
637,0.000553691,0.000294605,0.000632051,0.000616757,0.000876088,0.001088885,0.001541914,0.001493545,0.001892863,0.002741182,0.002849354,0.003906914,0.003413319,0.004103641,0.004081246,0.004542588,0.007562559,0.005643251,0.006592331,0.007154339,0.006799744
638,3.53E-05,0.000528058,0.000410202,0.001064362,0.000795505,0.00128987,0.00124628,0.001563112,0.001926091,0.002361774,0.002669733,0.003670071,0.00358286,0.00411216,0.003910466,0.004637762,0.007385533,0.005435918,0.006328409,0.006959092,0.006604473
639,0.000225733,0.00016723,0.000165106,0.000679754,0.000952093,0.000972225,0.001595562,0.001552591,0.001981867,0.002470686,0.002835206,0.003604237,0.003604081,0.003934601,0.004149766,0.004640954,0.007339458,0.005610236,0.00655714,0.007358914,0.006972612
640,-6.68E-05,4.58E-05,0.000156561,0.000487396,0.000572353,0.000861588,0.00098019,0.00137605,0.001728476,0.002030601,0.002804383,0.003400483,0.003203213,0.003713956,0.003815059,0.00400328,0.007191998,0.005207304,0.006377214,0.006821937,0.006613909
641,-0.00049502,-3.37E-05,0.000331855,0.00041344,0.000466949,0.000482213,0.001134406,0.000975235,0.001538017,0.001933553,0.002441789,0.003208481,0.003447603,0.003571663,0.003837884,0.003946409,0.006823831,0.004992427,0.006183288,0.006155167,0.006408134
642,-0.000462491,-5.45E-05,-1.65E-05,0.0003888,0.000243008,0.000584043,0.000796283,0.000864286,0.001674032,0.001691677,0.002480943,0.003252659,0.003175467,0.003143578,0.003354907,0.003887533,0.006732567,0.005174139,0.005985249,0.006596825,0.00623985
643,-0.000538974,-4.23E-05,-0.000182354,0.000217393,0.000780775,0.000480424,0.000961666,0.001086705,0.00123208,0.002014659,0.002393555,0.00314874,0.003064998,0.003775237,0.003777221,0.004008976,0.006970166,0.005017985,0.006042415,0.006392319,0.006300017
644,0.000199963,0.00021154,-2.14E-05,0.000852173,0.000919069,0.000978478,0.001471986,0.001270865,0.001857168,0.002703463,0.002674473,0.003451047,0.003651536,0.003557022,0.004001687,0.004455542,0.007055612,0.005238376,0.006534331,0.006992762,0.006786861
645,-1.82E-05,-1.42E-05,0.000441943,0.000508258,0.00045008,0.000957619,0.001086238,0.001273565,0.001778846,0.00233312,0.002533171,0.003698892,0.003519676,0.003610789,0.003893174,0.004194824,0.007218502,0.005519988,0.006177984,0.006625421,0.006559926
646,-0.000118852,0.000293776,0.00068315,0.000851162,0.000956867,0.001350316,0.001658441,0.001823165,0.001852488,0.002662179,0.002659497,0.003567148,0.00356647,0.00375521,0.003353655,0.004612802,0.007389798,0.00522863,0.006289012,0.006798193,0.006559585
647,-2.07E-05,0.000529561,0.00037753,0.00078578,0.001145592,0.001120521,0.001462792,0.001346369,0.002027689,0.002468056,0.002998865,0.003759883,0.003609249,0.003518867,0.003687901,0.00461275,0.007626466,0.005530763,0.006395865,0.006789779,0.006809447
648,-0.000351182,-4.16E-05,-1.28E-05,0.000512016,0.000636536,0.000726917,0.001046691,0.000887864,0.001366338,0.002077391,0.002381243,0.003170461,0.003033507,0.003512525,0.003643444,0.004239651,0.007001496,0.00483681,0.005808681,0.006078561,0.00612676
649,-0.000245588,0.000121811,0.000418467,0.000671561,0.000726035,0.00090597,0.001321053,0.001229977,0.001642512,0.002219403,0.002592983,0.003483612,0.003356785,0.003364116,0.003283018,0.004328249,0.00762989,0.005001095,0.006270418,0.006474446,0.006318481
650,-2.42E-05,-0.000104722,0.000135379,0.000528369,0.000405019,0.000544153,0.000926385,0.001056603,0.001292077,0.002053359,0.002796984,0.00304589,0.002744047,0.003658793,0.003403718,0.004123789,0.006874243,0.004918591,0.005970841,0.005951762,0.005843601
651,-0.000141366,-7.97E-06,0.000305147,0.000429272,0.000551203,0.001035274,0.001286287,0.000958994,0.001582311,0.002282191,0.002983721,0.003527792,0.003534081,0.003452378,0.00341191,0.004276719,0.007444753,0.005456206,0.006214955,0.006843553,0.005968216
652,-0.000174281,-0.000235809,0.000491542,0.000532749,0.000731428,0.000635733,0.001154442,0.001563424,0.001662598,0.002275425,0.002668821,0.003398813,0.003845954,0.003373638,0.003710484,0.004218583,0.007454786,0.005300554,0.006154012,0.006347899,0.006262618
653,-3.00E-05,4.19E-05,0.000132971,0.000449872,0.000852874,0.001201345,0.000776237,0.00123382,0.001376335,0.002085975,0.002690413,0.003176093,0.003182873,0.003256702,0.003289487,0.004236044,0.007277567,0.004935373,0.006150284,0.006270943,0.006373379
654,-0.000252729,0.000155136,0.000385432,0.000405719,0.000382737,0.00084447,0.00105432,0.000948721,0.001590677,0.001905837,0.0027912,0.002929276,0.003057933,0.003253155,0.00295599,0.00432702,0.007189998,0.005156718,0.006032572,0.006377529,0.006133717
655,-0.000428512,-0.000166156,0.000198513,0.000463814,0.000687091,0.000969449,0.000998456,0.001191923,0.001596939,0.002247166,0.002697394,0.003428921,0.003580094,0.003304224,0.003661482,0.004245794,0.007229424,0.005093566,0.006226089,0.006388194,0.006333163
656,0.000191236,0.000605662,0.000394474,0.000799784,0.000902027,0.00102243,0.001277252,0.001408537,0.001629287,0.002359354,0.002909236,0.003652241,0.003196798,0.00351965,0.003753878,0.004570761,0.007360099,0.005277023,0.006576693,0.00659467,0.006322762
657,-0.000160101,1.19E-05,0.000180903,0.000367192,0.000441088,0.000790396,0.000988544,0.001085615,0.001532172,0.002140262,0.002634859,0.003294599,0.003179275,0.003525652,0.003575161,0.004215786,0.007338168,0.004954015,0.006071132,0.006150573,0.00626661
658,-0.000126305,5.48E-05,5.98E-05,0.000504578,0.000613983,0.000601022,0.00130968,0.001193247,0.001197218,0.001815315,0.002381686,0.002937225,0.003281844,0.003084316,0.003237846,0.004276824,0.007040221,0.004799642,0.006123872,0.006454189,0.00608074
659,0.000254016,0.00020592,0.000337917,0.000691032,0.000945037,0.000847297,0.001422145,0.001438871,0.001727566,0.002355112,0.002853419,0.003471687,0.003032048,0.003527975,0.003779754,0.0044421,0.007599701,0.005300527,0.006257182,0.006366654,0.006345929
660,-0.00015772,-0.000125063,0.000358047,0.000797528,0.000284399,0.000763893,0.001299476,0.000978711,0.001464168,0.002100203,0.002635119,0.003045368,0.003193121,0.003064398,0.003405675,0.004016631,0.007063663,0.005041475,0.005901797,0.00620587,0.006047612
661,0.000323851,0.000228348,0.000598948,0.000477988,0.000911028,0.000861277,0.00138023,0.001732868,0.001832913,0.002373122,0.00256512,0.003547052,0.003650048,0.003937657,0.003801245,0.004370711,0.007613874,0.005532231,0.006315933,0.006574669,0.006374745
662,9.38E-05,9.53E-06,0.000253731,0.000571861,0.00073817,0.000631637,0.00097303,0.001180709,0.001655167,0.001954615,0.002501094,0.003167671,0.002733106,0.003207907,0.003259153,0.00419864,0.007185708,0.004951946,0.006030315,0.006267109,0.006374114
663,-0.000383461,-0.000266906,7.81E-05,0.00033069,0.000360223,0.000511264,0.00105829,0.000895101,0.001659454,0.001940964,0.002532312,0.003267838,0.002984894,0.003403014,0.003517301,0.003998055,0.007192919,0.004654507,0.006084835,0.005908174,0.006147711
664,0.000139936,4.67E-05,0.000670602,0.000667698,0.000647632,0.00068875,0.00118777,0.001283769,0.001730347,0.002485082,0.002762699,0.003676492,0.003325247,0.00343033,0.003833914,0.004486404,0.00757054,0.004972789,0.005945988,0.006200933,0.006467116
665,-0.000185459,0.000249224,0.000361467,0.000463684,0.000619634,0.000948176,0.001013842,0.00143778,0.001529912,0.002386657,0.00271396,0.003224623,0.003156119,0.003081239,0.003569523,0.004126663,0.007373342,0.00492278,0.006341779,0.006179166,0.006507343
666,-5.54E-05,-4.48E-05,0.000105162,0.000283622,0.000396106,0.000559134,0.001174584,0.000732699,0.001297555,0.001814301,0.002556215,0.003025817,0.002910096,0.003080144,0.0030876,0.004130322,0.006890785,0.004551848,0.005803119,0.006096989,0.005826495
667,0.000113136,0.000560975,0.0001215,0.000404268,0.000436501,0.000567169,0.000993007,0.001028528,0.001617724,0.001743706,0.002509998,0.00329499,0.00318775,0.003277697,0.003387804,0.0043659,0.00752434,0.004745518,0.005924679,0.005756189,0.006038556
668,0.000140014,0.000170078,0.000370483,0.000721368,0.000733295,0.000690332,0.000948799,0.000738377,0.001387839,0.002264236,0.002258485,0.003495407,0.003318439,0.003529828,0.003553159,0.004240357,0.007514595,0.004696661,0.006146136,0.005981863,0.006227402
669,0.000129138,0.000185228,0.000600192,0.000575853,0.000628163,0.001239842,0.001115564,0.001256768,0.001849369,0.002393034,0.002767571,0.00336255,0.003647594,0.003556656,0.004168008,0.004291673,0.007582921,0.005371703,0.00638407,0.006443916,0.006236908
670,-0.000171124,-1.94E-05,0.000797606,0.000227649,0.000709415,0.001103626,0.0008536,0.000709674,0.001623181,0.002233428,0.002537415,0.003040102,0.003360646,0.003660464,0.004070742,0.004376097,0.007673309,0.005053312,0.006107884,0.006424974,0.006583184
671,-0.000378754,0.000165313,0.0005793,0.000469566,0.000700495,0.001178088,0.001054917,0.001363975,0.001666626,0.002313237,0.002884714,0.003850498,0.003617732,0.003604759,0.004062747,0.004282968,0.007554077,0.005187996,0.006071394,0.006838504,0.006455292
672,-0.000140797,0.000202579,0.000350922,0.00059436,0.000766849,0.001146319,0.001536536,0.001418977,0.001733986,0.002228068,0.002780492,0.003244079,0.003442541,0.003634881,0.003827307,0.004233718,0.007548941,0.004872201,0.005679181,0.006245391,0.006241031
673,-2.01E-05,0.000179064,0.00053376,0.000663887,0.001041735,0.000917513,0.001146474,0.001821189,0.001891563,0.002468681,0.003059993,0.003615043,0.003341472,0.003439906,0.003913417,0.003911954,0.007384532,0.005202196,0.006466432,0.006247439,0.006560478
674,-0.000287757,5.13E-05,0.000176164,0.000342114,0.000420747,0.00075225,0.000953806,0.001439312,0.001548642,0.002095182,0.0024187,0.002952341,0.002945252,0.003190566,0.003081683,0.003712338,0.007077897,0.00465155,0.006041417,0.006244367,0.005916702
675,-0.000157565,-4.75E-05,-0.000214852,0.000231871,0.00017707,0.000516681,0.000616498,0.000817004,0.001280238,0.001764135,0.002342567,0.002970168,0.002792451,0.002724875,0.00314509,0.003835455,0.007078292,0.004364984,0.005558109,0.005764137,0.005767862
676,3.19E-05,0.000229592,0.000484001,0.00091772,0.000856764,0.001124621,0.001293505,0.001582623,0.001623492,0.002286198,0.002797479,0.003234925,0.003357255,0.003132184,0.0033253,0.004442178,0.007446148,0.004600768,0.0059958,0.006172076,0.006373983
677,5.03E-05,0.000433599,0.000444975,0.000877047,0.001140271,0.000873131,0.001058342,0.001365585,0.001730529,0.002147676,0.002857145,0.003678764,0.00322817,0.002884948,0.003398865,0.004424422,0.007791783,0.004957707,0.006093078,0.006290851,0.006068192
678,-0.000189392,-0.000314556,3.39E-06,0.000647891,0.001200618,0.000785417,0.000891625,0.001260611,0.001435027,0.001791296,0.002222213,0.003235394,0.002838541,0.003005616,0.00319273,0.003906731,0.007364022,0.004616884,0.005880727,0.005788455,0.00601244
679,0.000226017,0.000353591,0.000219569,0.000889213,0.001014698,0.001294647,0.001301372,0.001792362,0.002077521,0.002452046,0.002417763,0.003214349,0.003479985,0.003466807,0.003992255,0.004294549,0.007662111,0.004913643,0.006347479,0.006105206,0.006191585
680,-0.000146593,-0.000378133,5.16E-05,0.000456325,0.00070874,0.000425256,0.000926618,0.001053697,0.001557839,0.002210141,0.002282737,0.002986015,0.002865405,0.002904571,0.003127438,0.00426174,0.007226818,0.00445209,0.005815896,0.005803277,0.005701028
