Wavelength (nm),H2O,prot_30uM,vel_1-1,vel_1-2,vel_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3
363,-0.000211644,0.000214959,0.001195349,0.000247618,0.001029358,0.000744289,0.000226872,0.001930121,0.002313679,0.001214532,0.001555448,0.001683881,0.002941708,0.002145309,0.003449038,0.003795213,0.005329195,0.00587813,0.004031262,0.006290824,0.005887444,0.007942241,0.004969358,0.005977664,0.006929632,0.005709946,0.006307266,0.004205148,0.003091329,0.00673283,0.00615648,0.006514648,0.006704069,0.00656739,0.005928694,0.008333259,0.007225529,0.005787117,0.006678938,0.008601861,0.008717208,0.008725422,0.007975091,0.009761558,0.008844633,0.008242918,0.009223217,0.010249145,0.009160476,0.009438188,0.010030488,0.008899851,0.009002829,0.009115163,0.008882519,0.008497261
364,8.70E-05,0.004251179,0.003791505,0.001726033,0.004256407,0.003329552,0.002800397,0.004249794,0.003170435,0.003763748,0.003767299,0.003821301,0.003636683,0.003889439,0.005210133,0.004205017,0.004925372,0.006840555,0.005894267,0.003268542,0.006991657,0.005285513,0.006218421,0.004575653,0.005732896,0.005258891,0.006408659,0.006382416,0.005841187,0.006551753,0.006329827,0.00698708,0.006618272,0.008549374,0.006299492,0.006657436,0.007651362,0.006731121,0.008231943,0.009454299,0.008730466,0.009826133,0.00853084,0.009745196,0.008910419,0.010983001,0.008423013,0.010555694,0.011330162,0.010274511,0.009187232,0.01023523,0.010156417,0.011331331,0.009517638,0.009303475
365,0.001419626,0.002319118,0.001812143,0.003652946,0.002504192,0.004704799,0.002266786,0.003389421,0.003721189,0.004654978,0.003588916,0.003689494,0.004011275,0.003993849,0.005464987,0.004924063,0.006220338,0.008246374,0.005156063,0.005810334,0.006572909,0.005106819,0.00653412,0.007970846,0.008081068,0.007622066,0.007725928,0.006234597,0.007997872,0.007989936,0.006861409,0.006095991,0.007895527,0.007364443,0.007358361,0.008452705,0.007829182,0.009119816,0.009308446,0.009395386,0.007950493,0.00865446,0.008997121,0.010016396,0.009806275,0.011017703,0.010338658,0.010927783,0.010767451,0.0108455,0.011020411,0.009902345,0.010210955,0.011620219,0.011725148,0.010183924
366,-0.00085407,0.002258849,0.003232708,0.002259084,0.003264917,0.003301719,0.003627703,0.004073224,0.004641137,0.003540084,0.002808995,0.004425128,0.00214713,0.002188651,0.004535447,0.003995417,0.004812153,0.006263301,0.00586013,0.004013496,0.00669061,0.007228898,0.006222544,0.006327858,0.007346487,0.006802453,0.007528949,0.00655693,0.006753837,0.007195446,0.007444568,0.007068268,0.006828827,0.007045404,0.007820906,0.007806384,0.009718804,0.007376212,0.009585989,0.009972107,0.01083369,0.009358884,0.009829894,0.010564393,0.00928692,0.010898744,0.010128197,0.010088639,0.009897763,0.009598902,0.01085954,0.010305948,0.01138304,0.010982736,0.010454681,0.011142138
367,0.000325509,0.001901911,0.004313921,0.003212627,0.002960499,0.003614104,0.002684474,0.001701084,0.003233881,0.003642243,0.002814231,0.004014175,0.002500677,0.002489847,0.005899488,0.004317503,0.003641747,0.0049863,0.004980513,0.004403109,0.005597571,0.005762694,0.006439528,0.005933995,0.007015991,0.00638696,0.00630196,0.007086633,0.00581705,0.006326939,0.007685218,0.006694869,0.006605025,0.007283121,0.007624727,0.007281094,0.008107863,0.007681846,0.007983898,0.008737888,0.009096342,0.008797294,0.010285988,0.009215179,0.01060747,0.010566781,0.009719307,0.010333755,0.009818799,0.010029296,0.009393825,0.010305072,0.009990992,0.010263378,0.009900332,0.010434316
368,0.001817654,0.002329762,0.002935896,0.001990812,0.002364325,0.004173235,0.003644566,0.002795368,0.002855191,0.005277233,0.002867151,0.003715131,0.005157845,0.00435144,0.006188145,0.005747769,0.00421414,0.008071073,0.006005012,0.00701115,0.007277725,0.006813497,0.007148733,0.006598139,0.006744977,0.006351524,0.007812498,0.008235188,0.007686641,0.007317159,0.007759526,0.007084791,0.008325713,0.008718106,0.007033723,0.008598507,0.008753154,0.009584374,0.009929411,0.009764628,0.009839373,0.010022806,0.009954546,0.011081589,0.010131298,0.00953108,0.011701666,0.010893541,0.0101707,0.011925556,0.010519386,0.010622324,0.01095433,0.011612004,0.01113773,0.009910502
369,-0.000215991,0.002097497,0.001881657,0.001802812,0.001739652,0.001358418,0.002468603,-0.000176506,0.002723103,0.002681792,0.001638173,0.003132053,0.002168254,0.001959009,0.003102539,0.002186881,0.002515466,0.003850942,0.003731684,0.002960577,0.003428895,0.004745335,0.004243154,0.005001121,0.004504686,0.00514163,0.004861311,0.003922664,0.004803594,0.006297574,0.005254359,0.004816786,0.00631785,0.005539467,0.006231,0.006358091,0.006920874,0.006823436,0.008559353,0.008391922,0.007660741,0.008845082,0.008120285,0.007953525,0.008501776,0.009446441,0.009711868,0.008708176,0.010039283,0.009278219,0.009196565,0.009815542,0.009880815,0.008912719,0.009557514,0.010539463
370,-0.000687298,0.001157271,0.002310816,0.002182979,0.00197768,0.002146479,0.001964782,0.001752959,0.001921775,0.002037598,0.001223721,0.003048939,0.00173253,0.002427029,0.004511409,0.004087256,0.004244174,0.00741318,0.006282656,0.005566892,0.005593218,0.005781582,0.00545888,0.00601349,0.006165092,0.005046739,0.007316843,0.006579531,0.007179392,0.006360718,0.007048824,0.007040984,0.008044834,0.007062295,0.007449177,0.007876257,0.007616376,0.006155062,0.00888915,0.007685271,0.008488076,0.008030832,0.008498001,0.010235522,0.009252277,0.009559631,0.00949401,0.009466468,0.009941832,0.009162934,0.009061424,0.008134106,0.010676629,0.00956466,0.010413078,0.008806909
371,-0.000817176,0.001494272,0.001922347,0.001411264,0.001150393,0.002675958,0.001371375,0.001676838,0.000693547,0.001605772,0.001970789,0.002217842,0.001400019,0.002300173,0.002951611,0.003716097,0.00322757,0.005476076,0.004247101,0.004442859,0.005099381,0.003811456,0.003926425,0.0056876,0.004735259,0.004933174,0.005458644,0.005644851,0.006054201,0.006262592,0.005618654,0.005556562,0.005778801,0.006175595,0.006332376,0.00714697,0.00634698,0.006429098,0.006829537,0.007275487,0.006988737,0.007271855,0.008588025,0.008207489,0.008920408,0.008877921,0.008396145,0.00890894,0.009054526,0.00897997,0.008122976,0.009305141,0.00908154,0.008624279,0.009068746,0.008246242
372,-0.000504794,0.000674879,0.000735603,0.001513598,0.000357347,0.000441191,0.001889691,0.002020641,0.001484973,0.001931889,0.001285716,0.001262558,0.00199903,0.00105227,0.003845118,0.003708735,0.003520511,0.004734919,0.004469953,0.003779284,0.00485016,0.004636087,0.004218374,0.005489917,0.004316457,0.004366684,0.005968584,0.006585077,0.005893558,0.006722235,0.004802652,0.005630245,0.006474289,0.006087145,0.006216688,0.006678649,0.008081675,0.005152265,0.00711976,0.007188314,0.006562843,0.008401608,0.007940792,0.008001616,0.008738945,0.008673659,0.009094703,0.008495097,0.009354123,0.008759018,0.008969637,0.008127538,0.009103876,0.009587285,0.008230888,0.009268275
